FIR_Number,Accused_Age,Accused_Gender,Accused_Occupation,Recidivist_Flag,Victim_Age,Victim_Gender
FIR-176/2026-406a,42,Male,Business,No,23,Female
FIR-331/2026-131a,40,Male,Laborer,No,58,Male
FIR-925/2025-1730,22,Unknown,Laborer,No,25,Male
FIR-375/2025-1bdf,49,Male,Business,No,47,Female
FIR-463/2026-8e38,25,Female,Private Employee,No,16,Female
FIR-950/2026-73fb,35,Male,Laborer,Yes,56,Male
FIR-576/2025-0aef,55,Male,Private Employee,No,49,Female
FIR-467/2026-25e1,43,Male,Private Employee,No,11,Male
FIR-681/2026-8c54,35,Male,Private Employee,No,57,Female
FIR-869/2026-60f0,35,Male,Student,Yes,39,Male
FIR-443/2025-9eca,51,Male,Business,No,50,Male
FIR-812/2026-fa3c,46,Unknown,Private Employee,Yes,61,Male
FIR-327/2025-1830,54,Male,Business,No,38,Male
FIR-377/2025-a6c6,21,Male,Student,No,11,Female
FIR-398/2025-520d,37,Male,Laborer,No,10,Male
FIR-348/2025-90ac,27,Male,Private Employee,No,24,Male
FIR-440/2026-9f06,21,Male,Laborer,No,57,Male
FIR-947/2025-823d,43,Male,Business,No,45,Male
FIR-909/2025-d173,46,Male,Laborer,Yes,25,Male
FIR-135/2026-1e7b,25,Male,Student,Yes,69,Female
FIR-648/2025-2cd7,40,Male,Unemployed,No,16,Male
FIR-300/2025-4311,40,Male,Student,No,60,Male
FIR-103/2026-ae90,29,Male,Laborer,No,43,Male
FIR-435/2026-adfd,59,Male,Laborer,No,49,Female
FIR-401/2026-0af9,33,Male,Private Employee,No,33,Female
FIR-674/2025-d84d,34,Male,Student,No,38,Male
FIR-123/2026-3ae9,33,Male,Student,Yes,33,Female
FIR-202/2025-cd90,20,Male,Student,No,11,Male
FIR-220/2026-0988,58,Male,Student,No,18,Female
FIR-648/2025-51a5,28,Female,Student,No,43,Female
FIR-544/2026-13dd,53,Male,Business,No,64,Female
FIR-256/2026-5a04,55,Male,Business,Yes,40,Male
FIR-659/2026-0dda,30,Female,Unemployed,No,66,Male
FIR-878/2026-88f4,39,Male,Student,Yes,32,Female
FIR-937/2026-23e3,20,Male,Business,Yes,54,Male
FIR-647/2026-2c94,49,Male,Laborer,No,54,Female
FIR-102/2026-3979,48,Female,Private Employee,No,60,Female
FIR-631/2025-a09d,28,Male,Student,Yes,58,Male
FIR-830/2026-f4ab,50,Male,Laborer,No,54,Male
FIR-122/2026-3ad9,30,Male,Laborer,Yes,30,Female
FIR-396/2025-dd1c,60,Male,Private Employee,Yes,28,Female
FIR-602/2025-03bf,53,Male,Student,Yes,28,Female
FIR-409/2025-0c4d,34,Male,Business,No,63,Female
FIR-533/2025-5371,51,Male,Student,Yes,33,Female
FIR-998/2025-dff5,36,Male,Business,No,49,Female
FIR-584/2026-ce39,49,Male,Business,Yes,38,Female
FIR-654/2025-742f,60,Male,Laborer,Yes,12,Female
FIR-788/2025-d619,55,Male,Unemployed,Yes,26,Female
FIR-474/2026-2558,42,Male,Unemployed,Yes,12,Female
FIR-284/2025-2a8a,51,Male,Student,Yes,33,Female
FIR-119/2026-e341,31,Male,Laborer,No,62,Male
FIR-893/2026-a837,20,Male,Private Employee,Yes,64,Female
FIR-165/2025-8a31,22,Male,Unemployed,Yes,32,Male
FIR-185/2026-4fdf,18,Male,Student,No,46,Female
FIR-356/2026-0f2c,58,Female,Student,No,28,Male
FIR-207/2026-4d4f,58,Male,Unemployed,No,56,Female
FIR-357/2026-9de5,53,Male,Private Employee,No,25,Female
FIR-509/2026-fd13,46,Female,Business,No,58,Female
FIR-263/2026-e8e7,48,Male,Private Employee,No,14,Female
FIR-812/2025-a714,51,Male,Business,No,65,Male
FIR-789/2025-708a,28,Male,Unemployed,No,33,Female
FIR-976/2025-009c,60,Male,Unemployed,No,57,Male
FIR-448/2026-5370,29,Female,Student,No,23,Female
FIR-777/2025-98fa,25,Male,Private Employee,No,51,Male
FIR-904/2026-10ee,31,Male,Private Employee,No,37,Female
FIR-975/2025-f584,40,Male,Laborer,No,59,Male
FIR-971/2026-f0f6,56,Male,Private Employee,No,48,Female
FIR-861/2026-4f4d,25,Male,Laborer,No,35,Female
FIR-603/2026-6ec7,29,Male,Private Employee,No,70,Male
FIR-703/2026-62a4,21,Male,Private Employee,No,22,Female
FIR-480/2025-0597,50,Male,Laborer,Yes,18,Male
FIR-698/2025-74bb,50,Male,Laborer,No,64,Female
FIR-319/2026-0498,57,Male,Business,Yes,41,Female
FIR-349/2026-2373,52,Male,Business,No,39,Female
FIR-743/2025-f25f,39,Male,Private Employee,No,35,Male
FIR-733/2026-1ee2,42,Female,Business,Yes,47,Male
FIR-168/2025-e6cd,30,Male,Private Employee,Yes,12,Male
FIR-983/2026-bfac,60,Male,Student,No,68,Male
FIR-380/2026-c9aa,30,Male,Private Employee,Yes,36,Female
FIR-819/2025-cdf5,51,Male,Private Employee,Yes,56,Female
FIR-144/2026-2c1c,36,Male,Private Employee,No,48,Male
FIR-421/2025-8d60,56,Male,Business,Yes,14,Male
FIR-375/2026-bacb,57,Male,Private Employee,No,36,Male
FIR-746/2026-efd3,30,Male,Student,Yes,10,Male
FIR-849/2026-567d,18,Male,Business,No,18,Male
FIR-966/2026-fdb7,56,Female,Unemployed,No,56,Female
FIR-413/2026-5dd4,30,Male,Laborer,Yes,42,Male
FIR-663/2025-53ac,46,Male,Student,No,44,Male
FIR-847/2026-921c,50,Male,Student,No,32,Female
FIR-363/2025-ded5,34,Male,Unemployed,No,23,Female
FIR-556/2026-a7e0,50,Male,Unemployed,No,30,Male
FIR-764/2026-f46e,43,Male,Unemployed,No,21,Male
FIR-170/2026-e52e,49,Male,Student,Yes,13,Male
FIR-402/2025-690d,46,Male,Student,No,50,Female
FIR-821/2026-430c,33,Male,Private Employee,Yes,57,Male
FIR-724/2026-bc25,57,Male,Student,No,61,Female
FIR-251/2025-3bcf,18,Male,Private Employee,Yes,53,Female
FIR-192/2025-428b,51,Male,Unemployed,Yes,29,Male
FIR-382/2026-3109,41,Male,Laborer,Yes,70,Female
FIR-116/2026-b83f,46,Male,Business,No,41,Male
FIR-140/2025-68d7,19,Male,Business,No,18,Male
FIR-914/2025-e8d5,54,Male,Laborer,No,32,Male
FIR-985/2026-be74,44,Unknown,Student,No,44,Female
FIR-112/2026-29bf,46,Male,Laborer,No,61,Male
FIR-266/2025-3c01,18,Male,Unemployed,No,59,Male
FIR-675/2025-157c,48,Male,Laborer,Yes,37,Male
FIR-169/2026-4b1f,19,Male,Business,No,49,Male
FIR-547/2025-6414,31,Male,Student,No,35,Female
FIR-505/2026-5c15,28,Male,Unemployed,No,46,Female
FIR-850/2025-96c8,53,Male,Laborer,Yes,13,Female
FIR-900/2026-0338,22,Male,Private Employee,Yes,35,Male
FIR-938/2025-c372,46,Male,Unemployed,Yes,68,Male
FIR-977/2025-fdc5,52,Unknown,Student,Yes,12,Male
FIR-276/2026-083a,58,Male,Student,Yes,65,Male
FIR-900/2025-64c9,55,Male,Laborer,No,61,Male
FIR-557/2026-396c,58,Male,Business,Yes,43,Female
FIR-915/2026-2a05,33,Male,Unemployed,No,64,Male
FIR-710/2025-b925,40,Male,Laborer,No,70,Male
FIR-516/2025-883e,54,Male,Student,Yes,52,Male
FIR-296/2026-9573,18,Male,Private Employee,No,14,Male
FIR-799/2026-4650,21,Male,Private Employee,No,49,Female
FIR-969/2026-7011,59,Male,Business,No,40,Female
FIR-389/2026-f33e,38,Male,Private Employee,Yes,32,Female
FIR-779/2025-330c,54,Male,Laborer,No,49,Female
FIR-369/2026-e468,28,Male,Private Employee,No,43,Female
FIR-870/2026-237a,59,Male,Unemployed,No,42,Male
FIR-814/2025-6d0e,21,Male,Private Employee,No,38,Male
FIR-164/2025-c01b,33,Male,Unemployed,No,27,Male
FIR-347/2026-97bd,26,Male,Laborer,No,42,Male
FIR-270/2026-deda,45,Female,Laborer,No,25,Male
FIR-619/2026-c18c,30,Male,Laborer,No,56,Male
FIR-291/2026-0d52,48,Male,Unemployed,Yes,33,Female
FIR-277/2026-2582,37,Male,Unemployed,No,50,Female
FIR-284/2026-863f,48,Male,Laborer,No,70,Male
FIR-616/2026-2a02,33,Male,Student,No,11,Male
FIR-992/2026-edbd,53,Female,Laborer,No,22,Male
FIR-730/2026-66bf,24,Male,Business,Yes,37,Male
FIR-421/2025-d634,43,Male,Private Employee,No,61,Male
FIR-673/2026-d1da,42,Male,Laborer,No,40,Male
FIR-903/2026-0a49,49,Male,Unemployed,No,61,Female
FIR-757/2026-8ba6,27,Male,Unemployed,No,41,Male
FIR-491/2025-d108,48,Female,Student,Yes,62,Male
FIR-880/2025-d24c,54,Male,Unemployed,No,11,Male
FIR-897/2026-6b95,42,Female,Laborer,No,23,Male
FIR-765/2025-df90,50,Male,Student,No,48,Female
FIR-992/2026-9028,56,Male,Business,No,44,Female
FIR-127/2026-f6d0,55,Male,Unemployed,No,45,Male
FIR-905/2026-7636,52,Male,Laborer,No,42,Female
FIR-553/2026-4a39,41,Male,Laborer,Yes,47,Female
FIR-538/2025-1eed,59,Male,Student,Yes,52,Female
FIR-858/2026-8a33,48,Male,Unemployed,No,62,Male
FIR-614/2026-0f05,36,Male,Private Employee,Yes,67,Female
FIR-178/2026-3c05,20,Male,Private Employee,Yes,46,Male
FIR-722/2025-b8ae,35,Male,Student,No,38,Male
FIR-960/2026-2cf2,42,Male,Unemployed,No,37,Male
FIR-615/2025-9b0f,47,Male,Unemployed,No,40,Female
FIR-185/2025-920d,34,Male,Business,Yes,11,Female
FIR-628/2025-5479,38,Male,Private Employee,No,36,Male
FIR-474/2025-cb9a,25,Female,Unemployed,Yes,10,Female
FIR-890/2025-b9ae,18,Male,Private Employee,No,22,Female
FIR-329/2026-67be,40,Male,Private Employee,No,23,Male
FIR-114/2025-2b3d,40,Unknown,Business,No,43,Male
FIR-940/2025-a722,19,Male,Business,No,34,Male
FIR-184/2025-c0b2,18,Male,Business,No,66,Male
FIR-855/2025-aa61,34,Male,Private Employee,No,65,Male
FIR-497/2026-3897,34,Female,Student,Yes,48,Female
FIR-784/2026-911d,19,Female,Student,No,10,Female
FIR-759/2025-1da3,25,Male,Unemployed,No,10,Male
FIR-208/2025-063f,59,Male,Private Employee,No,16,Male
FIR-449/2025-4996,53,Male,Laborer,No,24,Male
FIR-654/2025-3407,58,Male,Student,Yes,38,Male
FIR-101/2026-2861,41,Male,Business,Yes,57,Male
FIR-123/2025-e6b3,55,Male,Laborer,Yes,56,Male
FIR-760/2026-ceaa,50,Male,Laborer,No,11,Male
FIR-660/2026-1eae,20,Male,Laborer,No,51,Male
FIR-505/2025-ff7b,51,Unknown,Student,No,22,Female
FIR-757/2026-ac4f,48,Male,Laborer,No,53,Female
FIR-918/2025-92fe,27,Female,Unemployed,Yes,30,Male
FIR-592/2025-e836,57,Female,Private Employee,No,12,Female
FIR-856/2025-6050,56,Male,Student,Yes,18,Female
FIR-880/2026-abad,55,Male,Student,Yes,18,Female
FIR-304/2025-5954,51,Male,Student,Yes,19,Female
FIR-264/2025-eabd,56,Female,Business,No,70,Female
FIR-826/2025-13b7,52,Male,Laborer,Yes,21,Female
FIR-255/2026-a93c,39,Male,Unemployed,No,22,Female
FIR-421/2026-fcdf,26,Male,Business,No,39,Male
FIR-583/2025-26c6,27,Male,Student,Yes,49,Male
FIR-833/2025-284f,33,Male,Private Employee,No,22,Female
FIR-773/2025-f435,50,Female,Laborer,Yes,24,Female
FIR-826/2026-d5f5,37,Male,Unemployed,No,47,Male
FIR-108/2026-0713,49,Female,Business,No,18,Female
FIR-741/2025-dcf8,24,Male,Unemployed,Yes,11,Female
FIR-156/2025-7fc4,51,Male,Student,No,32,Male
FIR-609/2025-ca2f,24,Male,Laborer,No,57,Male
FIR-641/2025-8e75,53,Male,Unemployed,Yes,33,Female
FIR-613/2026-3b7f,52,Male,Unemployed,Yes,63,Female
FIR-327/2025-5554,37,Male,Student,No,47,Female
FIR-905/2025-3a53,38,Male,Laborer,No,22,Male
FIR-711/2026-6cc1,46,Female,Student,Yes,27,Male
FIR-530/2026-aef4,46,Male,Private Employee,No,29,Female
FIR-526/2025-c7e1,25,Male,Private Employee,No,20,Male
FIR-477/2026-240f,19,Male,Unemployed,Yes,26,Female
FIR-619/2026-e3cc,37,Female,Laborer,No,60,Female
FIR-469/2026-d205,55,Male,Student,No,10,Female
FIR-403/2026-5c89,37,Male,Laborer,No,28,Male
FIR-677/2025-5071,51,Male,Business,No,60,Male
FIR-270/2026-ee28,22,Male,Student,No,17,Female
FIR-257/2025-86a9,41,Male,Private Employee,No,52,Male
FIR-347/2026-b8c1,45,Male,Unemployed,No,37,Male
FIR-287/2026-c1cb,56,Male,Laborer,No,39,Male
FIR-301/2025-3032,58,Male,Business,No,19,Female
FIR-737/2026-9d51,55,Male,Unemployed,No,59,Female
FIR-625/2026-71a0,58,Male,Private Employee,No,59,Male
FIR-738/2025-6f14,22,Female,Unemployed,No,39,Male
FIR-233/2025-efe3,35,Male,Student,No,32,Female
FIR-442/2025-0cba,24,Female,Unemployed,No,23,Male
FIR-995/2025-90df,53,Female,Private Employee,No,28,Female
FIR-258/2026-ac26,34,Male,Private Employee,No,55,Male
FIR-444/2025-6021,58,Male,Business,No,50,Male
FIR-632/2025-d5aa,22,Male,Student,No,17,Female
FIR-868/2026-b9e4,57,Male,Student,No,39,Male
