FIR_Number,Date,District,Police_Station,Latitude,Longitude,Crime_Head,Status
FIR-916/2026-4590,2025-06-05,Bengaluru City,Indiranagar PS,12.92655,77.61446,Murder,Charge Sheeted
FIR-276/2025-e4e2,2025-03-16,Bengaluru City,Indiranagar PS,12.97439,77.5862,Assault,Charge Sheeted
FIR-158/2026-79f5,2025-05-06,Tumakuru,Tumakuru Town PS,13.33571,77.06216,Robbery,Charge Sheeted
FIR-281/2025-f461,2025-03-04,Bengaluru City,Indiranagar PS,13.00817,77.61692,Cyber Crime,Under Investigation
FIR-181/2026-e83e,2025-05-20,Tumakuru,Tumakuru Town PS,13.3718,77.10567,NDPS,Charge Sheeted
FIR-665/2026-9bc3,2025-01-14,Mysuru City,Saraswathipuram PS,12.3338,76.59325,Robbery,Charge Sheeted
FIR-222/2026-7bf7,2025-06-08,Hubballi Dharwad City,Dharwad Suburban PS,15.34393,75.16307,NDPS,Under Investigation
FIR-258/2025-b0db,2025-05-20,Mysuru City,Devaraja PS,12.34442,76.66863,Cyber Crime,Pending Trial
FIR-345/2025-c33b,2025-03-27,Belagavi Dist,Belagavi Camp PS,15.80818,74.54206,Murder,Charge Sheeted
FIR-787/2026-642f,2025-08-01,Mysuru City,Devaraja PS,12.33686,76.6556,Murder,Pending Trial
FIR-227/2026-2e71,2025-11-03,Tumakuru,Kyathasandra PS,13.30902,77.08008,Assault,Charge Sheeted
FIR-217/2026-e953,2025-05-08,Belagavi Dist,Tilakwadi PS,15.82374,74.53737,Cheating,Closed
FIR-254/2026-d576,2025-08-03,Belagavi Dist,Khadebazar PS,15.87441,74.51781,NDPS,Pending Trial
FIR-590/2025-fb67,2025-09-07,Belagavi Dist,Belagavi Camp PS,15.85595,74.53808,Cheating,Pending Trial
FIR-414/2026-d68c,2025-04-15,Tumakuru,Kyathasandra PS,13.30092,77.08923,Assault,Pending Trial
FIR-285/2026-1c4e,2025-02-27,Bengaluru City,Koramangala PS,13.00948,77.62559,Cyber Crime,Closed
FIR-895/2025-2c04,2025-03-09,Mysuru City,Devaraja PS,12.25921,76.61851,NDPS,Under Investigation
FIR-453/2025-ad0a,2025-02-17,Tumakuru,Tumakuru Town PS,13.31608,77.10493,Robbery,Under Investigation
FIR-266/2026-e172,2025-10-31,Mysuru City,Kuvempunagar PS,12.27213,76.61827,Assault,Charge Sheeted
FIR-223/2025-e63e,2025-11-08,Mysuru City,Devaraja PS,12.30915,76.59808,Murder,Under Investigation
FIR-701/2026-49eb,2025-04-23,Belagavi Dist,Tilakwadi PS,15.87434,74.51683,Assault,Closed
FIR-101/2026-c4fc,2025-09-15,Belagavi Dist,Belagavi Camp PS,15.87738,74.52668,Theft,Pending Trial
FIR-474/2026-e4dd,2025-04-08,Mysuru City,Saraswathipuram PS,12.25548,76.61554,Cheating,Pending Trial
FIR-462/2026-32cb,2025-12-28,Hubballi Dharwad City,Hubballi Town PS,15.34846,75.15275,Theft,Charge Sheeted
FIR-107/2026-8908,2025-06-18,Hubballi Dharwad City,Hubballi Town PS,15.35865,75.12518,Cyber Crime,Pending Trial
FIR-515/2025-323c,2025-11-27,Bengaluru City,Malleswaram PS,13.01338,77.57996,Cheating,Closed
FIR-427/2026-082d,2025-03-10,Mysuru City,Devaraja PS,12.29655,76.59719,Robbery,Closed
FIR-838/2025-5f1c,2025-01-17,Tumakuru,Kyathasandra PS,13.35033,77.11539,Robbery,Closed
FIR-931/2025-1041,2025-12-07,Mysuru City,Saraswathipuram PS,12.27859,76.67669,Cheating,Under Investigation
FIR-906/2026-e3cf,2025-11-15,Tumakuru,Kyathasandra PS,13.35732,77.08121,Murder,Closed
FIR-762/2025-8b5f,2025-10-23,Tumakuru,Kyathasandra PS,13.34588,77.05224,POCSO,Charge Sheeted
FIR-761/2026-2233,2025-08-15,Tumakuru,Kyathasandra PS,13.34112,77.09914,Robbery,Closed
FIR-580/2025-47d9,2025-11-06,Mysuru City,Devaraja PS,12.34372,76.61158,Cyber Crime,Under Investigation
FIR-776/2026-0385,2025-02-14,Tumakuru,Tumakuru Town PS,13.36199,77.08873,Assault,Charge Sheeted
FIR-767/2025-32b8,2025-04-01,Mysuru City,Devaraja PS,12.32291,76.67404,Cheating,Pending Trial
FIR-768/2026-1612,2025-09-19,Hubballi Dharwad City,Vidyanagar PS,15.37004,75.15651,Cyber Crime,Closed
FIR-821/2025-3852,2025-06-28,Hubballi Dharwad City,Vidyanagar PS,15.35566,75.14215,Cyber Crime,Charge Sheeted
FIR-502/2025-32d4,2025-01-01,Hubballi Dharwad City,Dharwad Suburban PS,15.40176,75.14077,Theft,Pending Trial
FIR-259/2025-ff15,2025-10-06,Mysuru City,Devaraja PS,12.2466,76.66436,Theft,Closed
FIR-267/2025-f8ef,2025-01-26,Tumakuru,Kyathasandra PS,13.36837,77.13287,Cheating,Under Investigation
FIR-593/2025-c081,2025-03-31,Belagavi Dist,Khadebazar PS,15.84021,74.45083,POCSO,Closed
FIR-683/2025-872c,2025-07-17,Hubballi Dharwad City,Dharwad Suburban PS,15.38567,75.16208,NDPS,Under Investigation
FIR-702/2026-f443,2025-12-20,Mysuru City,Kuvempunagar PS,12.27592,76.68246,Assault,Closed
FIR-766/2026-60f9,2025-07-26,Bengaluru City,Cubbon Park PS,12.95183,77.55057,Assault,Pending Trial
FIR-825/2025-0bca,2025-03-22,Bengaluru City,Koramangala PS,12.96076,77.61668,Cheating,Pending Trial
FIR-999/2026-28ee,2025-08-25,Tumakuru,Kyathasandra PS,13.33366,77.12396,Assault,Pending Trial
FIR-392/2026-8d8b,2025-01-07,Tumakuru,Kyathasandra PS,13.34655,77.07685,Robbery,Charge Sheeted
FIR-796/2025-4ec1,2025-12-14,Hubballi Dharwad City,Vidyanagar PS,15.33465,75.16224,Assault,Charge Sheeted
FIR-358/2025-0ecf,2025-09-26,Tumakuru,Tumakuru Town PS,13.36098,77.12855,Cyber Crime,Closed
FIR-935/2026-33cc,2025-03-28,Belagavi Dist,Khadebazar PS,15.87966,74.48312,NDPS,Closed
FIR-234/2026-7ba1,2025-07-20,Tumakuru,Kyathasandra PS,13.35188,77.09939,Cheating,Pending Trial
FIR-431/2026-16a4,2025-07-23,Belagavi Dist,Khadebazar PS,15.81158,74.48029,NDPS,Under Investigation
FIR-677/2026-27d3,2025-09-02,Bengaluru City,Malleswaram PS,12.93806,77.64036,Theft,Closed
FIR-344/2025-a6a2,2025-12-12,Bengaluru City,Cubbon Park PS,12.92395,77.62348,Theft,Under Investigation
FIR-973/2025-df50,2025-04-21,Tumakuru,Kyathasandra PS,13.37578,77.07665,Theft,Under Investigation
FIR-718/2025-81d1,2025-02-04,Belagavi Dist,Khadebazar PS,15.82418,74.50127,POCSO,Pending Trial
FIR-224/2026-6a65,2025-02-11,Hubballi Dharwad City,Dharwad Suburban PS,15.31591,75.1268,Murder,Closed
FIR-207/2026-eee6,2025-11-29,Tumakuru,Tumakuru Town PS,13.31939,77.12758,Cheating,Pending Trial
FIR-873/2026-de59,2025-06-11,Mysuru City,Kuvempunagar PS,12.30654,76.68806,Murder,Under Investigation
FIR-410/2026-c1f3,2025-05-01,Bengaluru City,Cubbon Park PS,12.98495,77.60742,Assault,Charge Sheeted
FIR-340/2025-2bca,2025-12-10,Hubballi Dharwad City,Vidyanagar PS,15.36085,75.0766,NDPS,Closed
FIR-139/2025-4081,2025-11-11,Bengaluru City,Koramangala PS,12.97033,77.598,POCSO,Closed
FIR-269/2025-352a,2025-06-01,Belagavi Dist,Belagavi Camp PS,15.84457,74.50581,Robbery,Pending Trial
FIR-372/2025-d776,2025-06-11,Belagavi Dist,Tilakwadi PS,15.84197,74.48565,Cyber Crime,Closed
FIR-718/2026-ee88,2025-01-06,Mysuru City,Devaraja PS,12.27919,76.59504,Cyber Crime,Pending Trial
FIR-552/2025-fe6a,2025-12-08,Hubballi Dharwad City,Hubballi Town PS,15.3905,75.08491,Assault,Charge Sheeted
FIR-824/2026-b51d,2025-03-17,Hubballi Dharwad City,Hubballi Town PS,15.32555,75.1653,Cheating,Charge Sheeted
FIR-927/2026-0931,2025-02-07,Hubballi Dharwad City,Vidyanagar PS,15.39217,75.09708,NDPS,Closed
FIR-738/2026-7647,2025-01-02,Tumakuru,Tumakuru Town PS,13.34126,77.05371,NDPS,Pending Trial
FIR-728/2025-e0fd,2025-12-15,Tumakuru,Tumakuru Town PS,13.35572,77.05526,Cyber Crime,Charge Sheeted
FIR-511/2026-0cda,2025-07-15,Mysuru City,Devaraja PS,12.28501,76.61969,Cheating,Under Investigation
FIR-527/2026-6596,2025-03-06,Hubballi Dharwad City,Vidyanagar PS,15.36762,75.08082,Theft,Pending Trial
FIR-617/2025-2ed6,2025-04-19,Mysuru City,Saraswathipuram PS,12.27215,76.6793,Theft,Pending Trial
FIR-134/2025-f059,2025-09-23,Tumakuru,Kyathasandra PS,13.30106,77.13895,Robbery,Under Investigation
FIR-412/2025-6487,2025-08-07,Mysuru City,Devaraja PS,12.33235,76.59807,NDPS,Pending Trial
FIR-116/2025-3302,2025-10-21,Mysuru City,Devaraja PS,12.26725,76.6365,Cyber Crime,Under Investigation
FIR-621/2025-8b46,2025-07-24,Tumakuru,Tumakuru Town PS,13.31642,77.07061,NDPS,Closed
FIR-543/2025-6c4e,2025-05-11,Bengaluru City,Koramangala PS,12.98047,77.6213,POCSO,Under Investigation
FIR-256/2025-d4d0,2025-05-27,Mysuru City,Kuvempunagar PS,12.3375,76.65269,Murder,Pending Trial
FIR-704/2025-4b0b,2025-12-27,Tumakuru,Tumakuru Town PS,13.35783,77.08663,POCSO,Pending Trial
FIR-201/2025-d2d4,2025-03-27,Bengaluru City,Indiranagar PS,12.96278,77.60864,NDPS,Charge Sheeted
FIR-812/2025-3f14,2025-02-20,Tumakuru,Kyathasandra PS,13.38462,77.14209,NDPS,Under Investigation
FIR-626/2025-785e,2025-12-26,Hubballi Dharwad City,Dharwad Suburban PS,15.36972,75.1394,Cyber Crime,Charge Sheeted
FIR-217/2025-7a7e,2025-05-18,Bengaluru City,Malleswaram PS,12.98992,77.56958,Robbery,Charge Sheeted
FIR-450/2025-7a7c,2025-09-03,Bengaluru City,Malleswaram PS,12.95807,77.56598,Theft,Closed
FIR-519/2026-7fc9,2025-10-07,Belagavi Dist,Khadebazar PS,15.89475,74.51968,Robbery,Closed
FIR-485/2026-5a68,2025-04-20,Hubballi Dharwad City,Vidyanagar PS,15.32081,75.09878,Cheating,Closed
FIR-720/2025-da61,2025-07-22,Bengaluru City,Indiranagar PS,13.00945,77.619,POCSO,Closed
FIR-692/2025-0ddf,2025-08-15,Tumakuru,Kyathasandra PS,13.36607,77.12725,Cheating,Under Investigation
FIR-342/2025-59f4,2025-05-28,Tumakuru,Tumakuru Town PS,13.33089,77.1124,NDPS,Closed
FIR-231/2025-3876,2025-01-04,Hubballi Dharwad City,Hubballi Town PS,15.34992,75.12508,Assault,Pending Trial
FIR-838/2025-2ecd,2025-07-18,Tumakuru,Tumakuru Town PS,13.3033,77.06572,NDPS,Pending Trial
FIR-352/2025-cb33,2025-07-11,Bengaluru City,Malleswaram PS,12.96406,77.55304,Robbery,Charge Sheeted
FIR-926/2025-d181,2025-01-05,Belagavi Dist,Khadebazar PS,15.85367,74.49908,NDPS,Charge Sheeted
FIR-802/2026-17a3,2025-10-02,Belagavi Dist,Belagavi Camp PS,15.84053,74.5151,POCSO,Under Investigation
FIR-336/2026-7009,2025-05-17,Hubballi Dharwad City,Vidyanagar PS,15.39464,75.11177,Murder,Charge Sheeted
FIR-879/2025-53c5,2025-06-20,Mysuru City,Kuvempunagar PS,12.31427,76.67036,NDPS,Charge Sheeted
FIR-346/2026-3f46,2025-01-29,Bengaluru City,Koramangala PS,12.92458,77.60486,Assault,Pending Trial
FIR-746/2025-c30c,2025-09-17,Bengaluru City,Cubbon Park PS,12.96341,77.63249,NDPS,Charge Sheeted
FIR-675/2026-5287,2025-05-28,Tumakuru,Kyathasandra PS,13.35678,77.10244,Cheating,Charge Sheeted
FIR-115/2025-eebe,2025-06-01,Mysuru City,Devaraja PS,12.32076,76.61275,POCSO,Closed
FIR-638/2025-6e45,2025-07-19,Bengaluru City,Koramangala PS,12.96582,77.64422,Cheating,Charge Sheeted
FIR-471/2026-5063,2025-11-15,Mysuru City,Devaraja PS,12.28476,76.66838,POCSO,Charge Sheeted
FIR-983/2025-6e69,2025-02-28,Tumakuru,Tumakuru Town PS,13.34968,77.08106,Assault,Closed
FIR-674/2026-a0d2,2025-12-20,Mysuru City,Saraswathipuram PS,12.33936,76.6403,POCSO,Pending Trial
FIR-602/2026-263f,2025-01-21,Bengaluru City,Indiranagar PS,12.97323,77.63953,Theft,Closed
FIR-906/2025-3a0a,2025-11-05,Hubballi Dharwad City,Hubballi Town PS,15.34994,75.16844,NDPS,Pending Trial
FIR-512/2025-cefc,2025-11-27,Belagavi Dist,Tilakwadi PS,15.81862,74.45924,Cyber Crime,Charge Sheeted
FIR-307/2026-51d0,2025-05-18,Tumakuru,Kyathasandra PS,13.32421,77.08567,NDPS,Under Investigation
FIR-892/2026-b2bd,2025-05-19,Bengaluru City,Cubbon Park PS,12.96161,77.54696,Cyber Crime,Under Investigation
FIR-715/2026-5fa8,2025-02-03,Mysuru City,Saraswathipuram PS,12.32797,76.65406,NDPS,Pending Trial
FIR-550/2026-77e1,2025-09-02,Bengaluru City,Malleswaram PS,12.93433,77.62362,Cheating,Under Investigation
FIR-805/2026-63f0,2025-03-02,Mysuru City,Devaraja PS,12.29113,76.68667,Assault,Closed
FIR-672/2026-7b4d,2025-02-22,Tumakuru,Tumakuru Town PS,13.28931,77.07244,Cyber Crime,Pending Trial
FIR-215/2025-0f6f,2025-02-22,Mysuru City,Kuvempunagar PS,12.26178,76.59076,NDPS,Closed
FIR-412/2025-63e4,2025-08-26,Belagavi Dist,Tilakwadi PS,15.80978,74.46516,Cheating,Closed
FIR-961/2025-71c6,2025-04-06,Bengaluru City,Koramangala PS,12.99825,77.56166,Cyber Crime,Under Investigation
FIR-277/2026-7390,2025-09-18,Belagavi Dist,Tilakwadi PS,15.88904,74.50476,NDPS,Closed
FIR-194/2025-a3f7,2025-06-05,Hubballi Dharwad City,Dharwad Suburban PS,15.3967,75.12056,Cheating,Closed
FIR-296/2026-a143,2025-07-23,Bengaluru City,Koramangala PS,13.01425,77.63539,Robbery,Pending Trial
FIR-668/2025-938d,2025-12-03,Hubballi Dharwad City,Dharwad Suburban PS,15.36266,75.15006,Theft,Charge Sheeted
FIR-588/2025-5611,2025-11-03,Belagavi Dist,Belagavi Camp PS,15.86077,74.54591,Robbery,Under Investigation
FIR-823/2026-65c9,2025-10-31,Belagavi Dist,Khadebazar PS,15.80047,74.54722,Assault,Under Investigation
FIR-693/2026-f287,2025-07-17,Belagavi Dist,Tilakwadi PS,15.84293,74.48197,Murder,Charge Sheeted
FIR-996/2025-ac63,2025-08-27,Tumakuru,Tumakuru Town PS,13.33895,77.06966,Murder,Pending Trial
FIR-892/2025-cc7a,2025-07-15,Bengaluru City,Koramangala PS,12.96981,77.56883,POCSO,Charge Sheeted
FIR-601/2025-c1ac,2025-06-17,Mysuru City,Saraswathipuram PS,12.24803,76.6544,POCSO,Pending Trial
FIR-793/2025-7a21,2025-06-27,Belagavi Dist,Belagavi Camp PS,15.85993,74.53095,POCSO,Charge Sheeted
FIR-113/2025-747a,2025-09-14,Tumakuru,Tumakuru Town PS,13.29584,77.06379,Assault,Under Investigation
FIR-912/2026-f715,2025-06-21,Belagavi Dist,Khadebazar PS,15.85005,74.53044,Assault,Closed
FIR-223/2026-becb,2025-01-03,Tumakuru,Kyathasandra PS,13.29446,77.08304,Cyber Crime,Charge Sheeted
FIR-558/2026-4d37,2025-10-07,Mysuru City,Devaraja PS,12.29859,76.59014,Murder,Charge Sheeted
FIR-778/2025-7c89,2025-03-16,Mysuru City,Devaraja PS,12.30116,76.66357,Cheating,Pending Trial
FIR-864/2026-0803,2025-10-19,Hubballi Dharwad City,Dharwad Suburban PS,15.37864,75.13941,Robbery,Charge Sheeted
FIR-359/2026-5722,2025-12-13,Bengaluru City,Indiranagar PS,13.01738,77.58325,NDPS,Under Investigation
FIR-136/2025-c1d5,2025-10-09,Tumakuru,Tumakuru Town PS,13.36297,77.11362,Assault,Pending Trial
