FIR_Number,Crime_Head,Applicable_Law,Section,MO_Description
FIR-547/2026-d604,Cyber Crime,BNS 2023,324,Sent phishing link offering fake loan
FIR-661/2025-15b5,Robbery,BNS 2023,258,Threatened with a knife and stole wallet at Tilakwadi PS
FIR-930/2026-2f6e,Assault,BNS 2023,230,Road rage incident leading to severe injuries near Vidyanagar PS
FIR-135/2025-d214,Murder,BNS 2023,326,Poisoned during a family dispute at Dharwad Suburban PS
FIR-578/2025-10a9,Murder,BNS 2023,312,Poisoned during a family dispute at Indiranagar PS
FIR-960/2026-9f7a,Murder,BNS 2023,341,Stabbed after a drunken brawl in Tumakuru Town PS
FIR-119/2025-2f42,Murder,BNS 2023,399,Poisoned during a family dispute at Malleswaram PS
FIR-564/2025-1571,Cheating,BNS 2023,317,Promised a job and took advance money in Dharwad Suburban PS
FIR-645/2026-a233,NDPS,BNS 2023,294,Smuggling synthetic drugs in a hidden compartment near Khadebazar PS
FIR-278/2025-9aa8,Cheating,BNS 2023,264,Promised a job and took advance money in Tilakwadi PS
FIR-162/2025-a950,Cheating,BNS 2023,196,Sold fake property documents to victim in Koramangala PS
FIR-691/2026-c157,Murder,BNS 2023,335,Stabbed after a drunken brawl in Tilakwadi PS
FIR-594/2026-17de,Murder,BNS 2023,237,Attacked with a sharp weapon at night near Tumakuru Town PS
FIR-516/2026-c501,Murder,BNS 2023,306,Stabbed after a drunken brawl in Belagavi Camp PS
FIR-309/2025-34a7,Theft,BNS 2023,193,Stole copper wires from a construction site in Kyathasandra PS
FIR-786/2025-3115,Cyber Crime,BNS 2023,144,Tricked victim into sharing OTP over phone call
FIR-623/2025-3a24,NDPS,BNS 2023,221,Found possessing cocaine at a rave party in Dharwad Suburban PS
FIR-746/2025-4a6d,Cyber Crime,BNS 2023,369,Romance scam on dating app leading to crypto transfer
FIR-706/2025-a0f0,Cyber Crime,BNS 2023,163,Tricked victim into sharing OTP over phone call
FIR-950/2026-0951,Theft,BNS 2023,157,Stole copper wires from a construction site in Cubbon Park PS
FIR-219/2026-e5f7,Murder,BNS 2023,166,Poisoned during a family dispute at Koramangala PS
FIR-544/2026-63c2,Theft,BNS 2023,349,Stole parked two-wheeler from Khadebazar PS
FIR-443/2026-42c5,NDPS,BNS 2023,225,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-725/2026-eb73,Robbery,BNS 2023,224,Threatened with a knife and stole wallet at Koramangala PS
FIR-916/2026-4590,Murder,BNS 2023,394,Attacked with a sharp weapon at night near Indiranagar PS
FIR-276/2025-e4e2,Assault,BNS 2023,352,Road rage incident leading to severe injuries near Indiranagar PS
FIR-158/2026-79f5,Robbery,BNS 2023,167,Threatened with a knife and stole wallet at Tumakuru Town PS
FIR-281/2025-f461,Cyber Crime,BNS 2023,354,Romance scam on dating app leading to crypto transfer
FIR-181/2026-e83e,NDPS,BNS 2023,300,Found possessing cocaine at a rave party in Tumakuru Town PS
FIR-665/2026-9bc3,Robbery,BNS 2023,351,Snatched gold chain while victim was walking near Saraswathipuram PS
FIR-222/2026-7bf7,NDPS,BNS 2023,380,Caught selling marijuana packets near college in Dharwad Suburban PS
FIR-258/2025-b0db,Cyber Crime,BNS 2023,267,Sent phishing link offering fake loan
FIR-345/2025-c33b,Murder,BNS 2023,297,Attacked with a sharp weapon at night near Belagavi Camp PS
FIR-787/2026-642f,Murder,BNS 2023,318,Poisoned during a family dispute at Devaraja PS
FIR-227/2026-2e71,Assault,BNS 2023,325,Physical altercation over property dispute in Kyathasandra PS
FIR-217/2026-e953,Cheating,BNS 2023,281,Promised a job and took advance money in Tilakwadi PS
FIR-254/2026-d576,NDPS,BNS 2023,280,Found possessing cocaine at a rave party in Khadebazar PS
FIR-590/2025-fb67,Cheating,BNS 2023,157,Sold fake property documents to victim in Belagavi Camp PS
FIR-414/2026-d68c,Assault,BNS 2023,392,Group clash using sticks and stones in Kyathasandra PS
FIR-285/2026-1c4e,Cyber Crime,BNS 2023,188,Tricked victim into sharing OTP over phone call
FIR-895/2025-2c04,NDPS,BNS 2023,133,Caught selling marijuana packets near college in Devaraja PS
FIR-453/2025-ad0a,Robbery,BNS 2023,336,Broke into house and stole valuables in Tumakuru Town PS
FIR-266/2026-e172,Assault,BNS 2023,105,Physical altercation over property dispute in Kuvempunagar PS
FIR-223/2025-e63e,Murder,BNS 2023,182,Stabbed after a drunken brawl in Devaraja PS
FIR-701/2026-49eb,Assault,BNS 2023,203,Road rage incident leading to severe injuries near Tilakwadi PS
FIR-101/2026-c4fc,Theft,BNS 2023,226,Stole parked two-wheeler from Belagavi Camp PS
FIR-474/2026-e4dd,Cheating,BNS 2023,245,Promised a job and took advance money in Saraswathipuram PS
FIR-462/2026-32cb,Theft,BNS 2023,121,Stole copper wires from a construction site in Hubballi Town PS
FIR-107/2026-8908,Cyber Crime,BNS 2023,312,Tricked victim into sharing OTP over phone call
FIR-515/2025-323c,Cheating,BNS 2023,139,Chit fund scam defrauding multiple investors in Malleswaram PS
FIR-427/2026-082d,Robbery,BNS 2023,136,Broke into house and stole valuables in Devaraja PS
FIR-838/2025-5f1c,Robbery,BNS 2023,285,Broke into house and stole valuables in Kyathasandra PS
FIR-931/2025-1041,Cheating,BNS 2023,250,Promised a job and took advance money in Saraswathipuram PS
FIR-906/2026-e3cf,Murder,BNS 2023,135,Stabbed after a drunken brawl in Kyathasandra PS
FIR-762/2025-8b5f,POCSO,BNS 2023,231,Assaulted minor on the way to school near Kyathasandra PS
FIR-761/2026-2233,Robbery,BNS 2023,205,Snatched gold chain while victim was walking near Kyathasandra PS
FIR-580/2025-47d9,Cyber Crime,BNS 2023,252,Tricked victim into sharing OTP over phone call
FIR-776/2026-0385,Assault,BNS 2023,395,Road rage incident leading to severe injuries near Tumakuru Town PS
FIR-767/2025-32b8,Cheating,BNS 2023,290,Chit fund scam defrauding multiple investors in Devaraja PS
FIR-768/2026-1612,Cyber Crime,BNS 2023,326,Sent phishing link offering fake loan
FIR-821/2025-3852,Cyber Crime,BNS 2023,206,Romance scam on dating app leading to crypto transfer
FIR-502/2025-32d4,Theft,BNS 2023,229,Stole copper wires from a construction site in Dharwad Suburban PS
FIR-259/2025-ff15,Theft,BNS 2023,258,Pickpocketed mobile phone at a crowded market in Devaraja PS
FIR-267/2025-f8ef,Cheating,BNS 2023,146,Sold fake property documents to victim in Kyathasandra PS
FIR-593/2025-c081,POCSO,BNS 2023,318,Harassed minor in the neighborhood of Khadebazar PS
FIR-683/2025-872c,NDPS,BNS 2023,303,Found possessing cocaine at a rave party in Dharwad Suburban PS
FIR-702/2026-f443,Assault,BNS 2023,279,Group clash using sticks and stones in Kuvempunagar PS
FIR-766/2026-60f9,Assault,BNS 2023,148,Road rage incident leading to severe injuries near Cubbon Park PS
FIR-825/2025-0bca,Cheating,BNS 2023,321,Chit fund scam defrauding multiple investors in Koramangala PS
FIR-999/2026-28ee,Assault,BNS 2023,219,Road rage incident leading to severe injuries near Kyathasandra PS
FIR-392/2026-8d8b,Robbery,BNS 2023,348,Snatched gold chain while victim was walking near Kyathasandra PS
FIR-796/2025-4ec1,Assault,BNS 2023,114,Road rage incident leading to severe injuries near Vidyanagar PS
FIR-358/2025-0ecf,Cyber Crime,BNS 2023,146,Tricked victim into sharing OTP over phone call
FIR-935/2026-33cc,NDPS,BNS 2023,348,Found possessing cocaine at a rave party in Khadebazar PS
FIR-234/2026-7ba1,Cheating,BNS 2023,220,Sold fake property documents to victim in Kyathasandra PS
FIR-431/2026-16a4,NDPS,BNS 2023,337,Caught selling marijuana packets near college in Khadebazar PS
FIR-677/2026-27d3,Theft,BNS 2023,383,Pickpocketed mobile phone at a crowded market in Malleswaram PS
FIR-344/2025-a6a2,Theft,BNS 2023,111,Stole copper wires from a construction site in Cubbon Park PS
FIR-973/2025-df50,Theft,BNS 2023,315,Stole copper wires from a construction site in Kyathasandra PS
FIR-718/2025-81d1,POCSO,BNS 2023,384,Assaulted minor on the way to school near Khadebazar PS
FIR-224/2026-6a65,Murder,BNS 2023,114,Attacked with a sharp weapon at night near Dharwad Suburban PS
FIR-207/2026-eee6,Cheating,BNS 2023,327,Promised a job and took advance money in Tumakuru Town PS
FIR-873/2026-de59,Murder,BNS 2023,383,Poisoned during a family dispute at Kuvempunagar PS
FIR-410/2026-c1f3,Assault,BNS 2023,316,Physical altercation over property dispute in Cubbon Park PS
FIR-340/2025-2bca,NDPS,BNS 2023,102,Found possessing cocaine at a rave party in Vidyanagar PS
FIR-139/2025-4081,POCSO,BNS 2023,183,Assaulted minor on the way to school near Koramangala PS
FIR-269/2025-352a,Robbery,BNS 2023,323,Snatched gold chain while victim was walking near Belagavi Camp PS
FIR-372/2025-d776,Cyber Crime,BNS 2023,109,Romance scam on dating app leading to crypto transfer
FIR-718/2026-ee88,Cyber Crime,BNS 2023,217,Sent phishing link offering fake loan
FIR-552/2025-fe6a,Assault,BNS 2023,288,Group clash using sticks and stones in Hubballi Town PS
FIR-824/2026-b51d,Cheating,BNS 2023,331,Promised a job and took advance money in Hubballi Town PS
FIR-927/2026-0931,NDPS,BNS 2023,127,Caught selling marijuana packets near college in Vidyanagar PS
FIR-738/2026-7647,NDPS,BNS 2023,266,Caught selling marijuana packets near college in Tumakuru Town PS
FIR-728/2025-e0fd,Cyber Crime,BNS 2023,177,Romance scam on dating app leading to crypto transfer
FIR-511/2026-0cda,Cheating,BNS 2023,147,Sold fake property documents to victim in Devaraja PS
FIR-527/2026-6596,Theft,BNS 2023,184,Stole parked two-wheeler from Vidyanagar PS
FIR-617/2025-2ed6,Theft,BNS 2023,398,Pickpocketed mobile phone at a crowded market in Saraswathipuram PS
FIR-134/2025-f059,Robbery,BNS 2023,181,Broke into house and stole valuables in Kyathasandra PS
FIR-412/2025-6487,NDPS,BNS 2023,316,Found possessing cocaine at a rave party in Devaraja PS
FIR-116/2025-3302,Cyber Crime,BNS 2023,155,Tricked victim into sharing OTP over phone call
FIR-621/2025-8b46,NDPS,BNS 2023,179,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-543/2025-6c4e,POCSO,BNS 2023,273,Groomed minor over social media
FIR-256/2025-d4d0,Murder,BNS 2023,221,Stabbed after a drunken brawl in Kuvempunagar PS
FIR-704/2025-4b0b,POCSO,BNS 2023,286,Groomed minor over social media
FIR-201/2025-d2d4,NDPS,BNS 2023,334,Found possessing cocaine at a rave party in Indiranagar PS
FIR-812/2025-3f14,NDPS,BNS 2023,148,Caught selling marijuana packets near college in Kyathasandra PS
FIR-626/2025-785e,Cyber Crime,BNS 2023,355,Tricked victim into sharing OTP over phone call
FIR-217/2025-7a7e,Robbery,BNS 2023,240,Threatened with a knife and stole wallet at Malleswaram PS
FIR-450/2025-7a7c,Theft,BNS 2023,263,Pickpocketed mobile phone at a crowded market in Malleswaram PS
FIR-519/2026-7fc9,Robbery,BNS 2023,389,Threatened with a knife and stole wallet at Khadebazar PS
FIR-485/2026-5a68,Cheating,BNS 2023,228,Chit fund scam defrauding multiple investors in Vidyanagar PS
FIR-720/2025-da61,POCSO,BNS 2023,235,Harassed minor in the neighborhood of Indiranagar PS
FIR-692/2025-0ddf,Cheating,BNS 2023,188,Sold fake property documents to victim in Kyathasandra PS
FIR-342/2025-59f4,NDPS,BNS 2023,367,Caught selling marijuana packets near college in Tumakuru Town PS
FIR-231/2025-3876,Assault,BNS 2023,210,Group clash using sticks and stones in Hubballi Town PS
FIR-838/2025-2ecd,NDPS,BNS 2023,339,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-352/2025-cb33,Robbery,BNS 2023,261,Snatched gold chain while victim was walking near Malleswaram PS
FIR-926/2025-d181,NDPS,BNS 2023,294,Found possessing cocaine at a rave party in Khadebazar PS
FIR-802/2026-17a3,POCSO,BNS 2023,142,Groomed minor over social media
FIR-336/2026-7009,Murder,BNS 2023,147,Attacked with a sharp weapon at night near Vidyanagar PS
FIR-879/2025-53c5,NDPS,BNS 2023,369,Caught selling marijuana packets near college in Kuvempunagar PS
FIR-346/2026-3f46,Assault,BNS 2023,394,Physical altercation over property dispute in Koramangala PS
FIR-746/2025-c30c,NDPS,BNS 2023,154,Smuggling synthetic drugs in a hidden compartment near Cubbon Park PS
FIR-675/2026-5287,Cheating,BNS 2023,207,Promised a job and took advance money in Kyathasandra PS
FIR-115/2025-eebe,POCSO,BNS 2023,386,Groomed minor over social media
FIR-638/2025-6e45,Cheating,BNS 2023,393,Sold fake property documents to victim in Koramangala PS
FIR-471/2026-5063,POCSO,BNS 2023,275,Groomed minor over social media
FIR-983/2025-6e69,Assault,BNS 2023,319,Physical altercation over property dispute in Tumakuru Town PS
FIR-674/2026-a0d2,POCSO,BNS 2023,342,Assaulted minor on the way to school near Saraswathipuram PS
FIR-602/2026-263f,Theft,BNS 2023,253,Stole parked two-wheeler from Indiranagar PS
FIR-906/2025-3a0a,NDPS,BNS 2023,140,Caught selling marijuana packets near college in Hubballi Town PS
FIR-512/2025-cefc,Cyber Crime,BNS 2023,153,Tricked victim into sharing OTP over phone call
FIR-307/2026-51d0,NDPS,BNS 2023,321,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-892/2026-b2bd,Cyber Crime,BNS 2023,204,Tricked victim into sharing OTP over phone call
FIR-715/2026-5fa8,NDPS,BNS 2023,122,Smuggling synthetic drugs in a hidden compartment near Saraswathipuram PS
FIR-550/2026-77e1,Cheating,BNS 2023,199,Sold fake property documents to victim in Malleswaram PS
FIR-805/2026-63f0,Assault,BNS 2023,168,Group clash using sticks and stones in Devaraja PS
FIR-672/2026-7b4d,Cyber Crime,BNS 2023,342,Sent phishing link offering fake loan
FIR-215/2025-0f6f,NDPS,BNS 2023,253,Found possessing cocaine at a rave party in Kuvempunagar PS
FIR-412/2025-63e4,Cheating,BNS 2023,392,Sold fake property documents to victim in Tilakwadi PS
FIR-961/2025-71c6,Cyber Crime,BNS 2023,235,Tricked victim into sharing OTP over phone call
FIR-277/2026-7390,NDPS,BNS 2023,131,Found possessing cocaine at a rave party in Tilakwadi PS
FIR-194/2025-a3f7,Cheating,BNS 2023,298,Chit fund scam defrauding multiple investors in Dharwad Suburban PS
FIR-296/2026-a143,Robbery,BNS 2023,101,Snatched gold chain while victim was walking near Koramangala PS
FIR-668/2025-938d,Theft,BNS 2023,350,Pickpocketed mobile phone at a crowded market in Dharwad Suburban PS
FIR-588/2025-5611,Robbery,BNS 2023,225,Snatched gold chain while victim was walking near Belagavi Camp PS
FIR-823/2026-65c9,Assault,BNS 2023,213,Physical altercation over property dispute in Khadebazar PS
FIR-693/2026-f287,Murder,BNS 2023,343,Stabbed after a drunken brawl in Tilakwadi PS
FIR-996/2025-ac63,Murder,BNS 2023,211,Stabbed after a drunken brawl in Tumakuru Town PS
FIR-892/2025-cc7a,POCSO,BNS 2023,188,Assaulted minor on the way to school near Koramangala PS
FIR-601/2025-c1ac,POCSO,BNS 2023,116,Harassed minor in the neighborhood of Saraswathipuram PS
FIR-793/2025-7a21,POCSO,BNS 2023,275,Groomed minor over social media
FIR-113/2025-747a,Assault,BNS 2023,176,Group clash using sticks and stones in Tumakuru Town PS
FIR-912/2026-f715,Assault,BNS 2023,336,Road rage incident leading to severe injuries near Khadebazar PS
FIR-223/2026-becb,Cyber Crime,BNS 2023,209,Romance scam on dating app leading to crypto transfer
FIR-558/2026-4d37,Murder,BNS 2023,200,Stabbed after a drunken brawl in Devaraja PS
FIR-778/2025-7c89,Cheating,BNS 2023,170,Sold fake property documents to victim in Devaraja PS
FIR-864/2026-0803,Robbery,BNS 2023,180,Snatched gold chain while victim was walking near Dharwad Suburban PS
FIR-359/2026-5722,NDPS,BNS 2023,243,Found possessing cocaine at a rave party in Indiranagar PS
FIR-136/2025-c1d5,Assault,BNS 2023,146,Road rage incident leading to severe injuries near Tumakuru Town PS
FIR-353/2025-267b,Robbery,BNS 2023,127,Snatched gold chain while victim was walking near Kyathasandra PS
FIR-198/2026-c6f9,Murder,BNS 2023,307,Poisoned during a family dispute at Saraswathipuram PS
FIR-552/2026-b42c,Assault,BNS 2023,218,Group clash using sticks and stones in Tilakwadi PS
FIR-814/2025-a98d,Cyber Crime,BNS 2023,183,Romance scam on dating app leading to crypto transfer
FIR-290/2025-da06,Murder,BNS 2023,218,Poisoned during a family dispute at Tilakwadi PS
FIR-818/2026-8754,Assault,BNS 2023,155,Physical altercation over property dispute in Kuvempunagar PS
FIR-905/2025-b826,Robbery,BNS 2023,248,Threatened with a knife and stole wallet at Kyathasandra PS
FIR-346/2025-6642,NDPS,BNS 2023,213,Smuggling synthetic drugs in a hidden compartment near Kuvempunagar PS
FIR-176/2026-406a,Murder,BNS 2023,294,Poisoned during a family dispute at Koramangala PS
FIR-331/2026-131a,Assault,BNS 2023,293,Group clash using sticks and stones in Kuvempunagar PS
FIR-925/2025-1730,NDPS,BNS 2023,213,Found possessing cocaine at a rave party in Tumakuru Town PS
FIR-375/2025-1bdf,Theft,BNS 2023,163,Stole parked two-wheeler from Khadebazar PS
FIR-463/2026-8e38,Cyber Crime,BNS 2023,103,Tricked victim into sharing OTP over phone call
FIR-950/2026-73fb,Murder,BNS 2023,196,Poisoned during a family dispute at Dharwad Suburban PS
FIR-576/2025-0aef,Assault,BNS 2023,105,Road rage incident leading to severe injuries near Belagavi Camp PS
FIR-467/2026-25e1,Assault,BNS 2023,369,Group clash using sticks and stones in Indiranagar PS
FIR-681/2026-8c54,Cyber Crime,BNS 2023,376,Romance scam on dating app leading to crypto transfer
FIR-869/2026-60f0,NDPS,BNS 2023,123,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-443/2025-9eca,Cyber Crime,BNS 2023,229,Romance scam on dating app leading to crypto transfer
FIR-812/2026-fa3c,Theft,BNS 2023,182,Stole copper wires from a construction site in Khadebazar PS
FIR-327/2025-1830,NDPS,BNS 2023,385,Caught selling marijuana packets near college in Malleswaram PS
FIR-377/2025-a6c6,Cyber Crime,BNS 2023,320,Romance scam on dating app leading to crypto transfer
FIR-398/2025-520d,Cheating,BNS 2023,150,Promised a job and took advance money in Cubbon Park PS
FIR-348/2025-90ac,Cheating,BNS 2023,373,Sold fake property documents to victim in Khadebazar PS
FIR-440/2026-9f06,Cyber Crime,BNS 2023,207,Tricked victim into sharing OTP over phone call
FIR-947/2025-823d,Murder,BNS 2023,353,Stabbed after a drunken brawl in Tumakuru Town PS
FIR-909/2025-d173,Murder,BNS 2023,359,Attacked with a sharp weapon at night near Khadebazar PS
FIR-135/2026-1e7b,Murder,BNS 2023,261,Poisoned during a family dispute at Koramangala PS
FIR-648/2025-2cd7,POCSO,BNS 2023,308,Harassed minor in the neighborhood of Kuvempunagar PS
FIR-300/2025-4311,Murder,BNS 2023,392,Attacked with a sharp weapon at night near Kyathasandra PS
FIR-103/2026-ae90,Assault,BNS 2023,311,Road rage incident leading to severe injuries near Dharwad Suburban PS
FIR-435/2026-adfd,Cheating,BNS 2023,104,Sold fake property documents to victim in Devaraja PS
FIR-401/2026-0af9,Robbery,BNS 2023,380,Broke into house and stole valuables in Vidyanagar PS
FIR-674/2025-d84d,Robbery,BNS 2023,264,Threatened with a knife and stole wallet at Hubballi Town PS
FIR-123/2026-3ae9,Murder,BNS 2023,342,Poisoned during a family dispute at Kuvempunagar PS
FIR-202/2025-cd90,Assault,BNS 2023,152,Group clash using sticks and stones in Kyathasandra PS
FIR-220/2026-0988,Cheating,BNS 2023,290,Chit fund scam defrauding multiple investors in Hubballi Town PS
FIR-648/2025-51a5,Theft,BNS 2023,375,Pickpocketed mobile phone at a crowded market in Kyathasandra PS
FIR-544/2026-13dd,NDPS,BNS 2023,348,Found possessing cocaine at a rave party in Indiranagar PS
FIR-256/2026-5a04,Robbery,BNS 2023,198,Threatened with a knife and stole wallet at Tumakuru Town PS
FIR-659/2026-0dda,Cyber Crime,BNS 2023,340,Tricked victim into sharing OTP over phone call
FIR-878/2026-88f4,Murder,BNS 2023,266,Attacked with a sharp weapon at night near Kyathasandra PS
FIR-937/2026-23e3,Cyber Crime,BNS 2023,378,Tricked victim into sharing OTP over phone call
FIR-647/2026-2c94,NDPS,BNS 2023,381,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-102/2026-3979,Assault,BNS 2023,114,Physical altercation over property dispute in Devaraja PS
FIR-631/2025-a09d,Cheating,BNS 2023,355,Chit fund scam defrauding multiple investors in Koramangala PS
FIR-830/2026-f4ab,POCSO,BNS 2023,166,Assaulted minor on the way to school near Kyathasandra PS
FIR-122/2026-3ad9,NDPS,BNS 2023,227,Caught selling marijuana packets near college in Vidyanagar PS
