Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
25,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಖಾಸಗಿಯವರ ಜಮೀನಿನಲ್ಲಿ ಸಾರ್ವಜನಿಕರ ಉದ್ದೇಶಕ್ಕೆ ರಸ್ತೆಯನ್ನು ಅಗಲಿಸುವುದು  ,Extending the road to the public's purpose on private land,ಅರವಿಂದ ಲಿಂಬಾವಳಿ,Aravinda Limbavali
26,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಐ ಟಿ ಪಿ ಎಲ್ ಮಾರ್ಗದಲ್ಲಿ ಮೆಟ್ರೋ ಯೋಜನೆ ,Metro project via ITPL route,ಅರವಿಂದ ಲಿಂಬಾವಳಿ,Aravinda Limbavali
27,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಅಕ್ರಮ ಮನೆಗಳನ್ನು ಸಕ್ರಮಗೊಳಿಸುವುದು ,Making illegal homes illegal,ಅನಿಲ್ ಲಾಡ್,Anil Lad
28,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಕುಡಿಯುವ ನೀರಿನ ಯೋಜನೆ ,Drinking water project,ಅನಿಲ್ ಲಾಡ್,Anil Lad
29,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ನಗರಾಭಿವೃದ್ಧಿ ಪ್ರಾಧಿಕಾರಗಳು ಕೈಗೊಂಡಿರುವ ಯೋಜನೆಗಳು ,Projects under Urban Development Authorities,ಮಾನಪ್ಪ ಡಿ ವಜ್ಜಲ್ ,Manappa de Vazzal
30,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಸ್ಥಳೀಯ ಸಂಸ್ಥೆಗಳಲ್ಲಿ ನೀಡಿರುವ ಅನುದಾನ ,Provided by local bodies,ಮಾನಪ್ಪ ಡಿ ವಜ್ಜಲ್ ,Manappa de Vazzal
31,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ರಸ್ತೆ ಅಗಲೀಕರಣದಿಂದಾಗಿ ನೀಡಲಾಗಿರುವ ಪರಿಹಾರ ,The solution provided by road widening,ಮಕಬುಲ್ ಎಸ್ ಬಾಗವಾನ್ ,Macabul S Bagan
32,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಮನೆಗಳಿಗೆ ಖಾತೆ ವಿತರಿಸುವುದು,Issuing account for houses,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
33,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಸಿ ಎ ಜಿ ವರದಿಯನ್ವಯ ಕೈಗೊಂಡಿರುವ ಕ್ರಮ ,Action under CAG report,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
34,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಭೂ ಸ್ವಾಧೀನದಿಂದ ಕೈಬಿಟ್ಟಿರುವ ಜಮೀನು,Land abandoned by land acquisition,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
35,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಜಿ ಪ್ರವರ್ಗದ ನಿವೇಶನಗಳನ್ನು ಹಂಚಿಕೆ ಮಾಡಿರುವುದು ,Distribution of sites of G-class,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ ಎಂ,Shivalinge Gowda KM
36,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಅಭಿವೃದ್ಧಿ ವೆಚ್ಚವನ್ನು ವಸೂಲಿ ಮಾಡುವುದು ,Debt development costs,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ ಎಂ,Shivalinge Gowda KM
37,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ ,Urban Development Department,ಬೆಂಗಳೂರು ಅಭಿವೃದ್ಧಿ ಪ್ರಾಧಿಕಾರದಿಂದ ನಿವೇಶನ ಹಂಚಿಕೆ  ,Distribution of land from Bangalore Development Authority,ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್ ,Cheluvaraswamy N.
38,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ ,Urban Development Department,ಬೀದಿ ದೀಪಗಳ ನಿರ್ವಹಣೆ ,Street lights management,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್,Jagdish Kumar R.
39,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ ,Urban Development Department,ನರ್ಮ ಯೋಜನೆಯಡಿ ಕೈಗೊಳ್ಳಲಾಗಿರುವ ಕಾಮಗಾರಿಗಳು ,Works under the Narmah Project,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್,Akhand Srinivas Murthy R.
40,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಹೊಸದಾಗಿ ಪಶು ಆಸ್ಪತ್ರೆ ಪ್ರಾರಂಭಿಸುವುದು ,The newly opened veterinary hospital,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
41,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯ ಪ್ರಾರಂಭಿಸುವುದು ,Launching Veterinary Clinic,ಡಾ.ಕೆ.ಶ್ರೀನಿವಾಸ್ ಮೂರ್ತಿ,Dr. K. Srinivas Murthy
42,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಆಸ್ಪತ್ರೆಗಳ್ಲಿ ಔಷಧಿ ಹಾಗು ಸಿಬ್ಬಂಧಿ ಕೊರತೆ,Veterinary hospitals lack of medication and staff,ಡಾ. ಶಿವರಾಜ್ ಪಾಟೀಲ್ ಎಸ್ ,Dr. Shivaraj Patil S.
43,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಹೈನುಗಾರಿಕೆಯ ವೃತ್ತಿಯಲ್ಲಿ ತೊಡಗಿರುವ ರೈತರು ,Farmers engaged in dairy farming,ಕೃಷ್ಣಾರೆಡ್ಡಿ ಎಂ ,Krishnaredhend M.
44,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶುವೈದ ಕಾಲೇಜು ಪ್ರಾರಂಭಿಸುವುದು ,Starting a veterinary college,ಕ್ಯಾತಸಂದ್ರ ಎನ್ ರಾಜಣ್ಣ,Kathasandra N Rajanna
45,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಆಸತ್ರೆಗಳನ್ನು ಪ್ರಾರಂಭಿಸುವುದು ,Getting Started Animal Husbandry,ಐಹೋಳೆ ಡಿ ಮಹಾಲಿಂಗಪ್ಪ,Ihole de Mahalingappa
46,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಕಳಪೆ ಗುಣಮಟ್ಟದ ಹಾಲನ್ನು ಉತ್ಪಾದಿಸುತ್ತಿರುವುದು ,Producing poor quality milk,ಐಹೋಳೆ ಡಿ ಮಹಾಲಿಂಗಪ್ಪ,Ihole de Mahalingappa
47,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯಗಳನ್ನು ಮೇಲ್ದರ್ಜೆಗೇರಿಸುವುದು ,Upgrading Veterinary Clinic,ರುದಪ್ಪ ಮಾನಪ್ಪ ಲಮಾಣಿ,Rudappa Manappa Lamani
48,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯಗಳಲ್ಲಿ ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಲ ಭರ್ತಿ ,Fill in vacant posts in veterinary clinics,ರುದಪ್ಪ ಮಾನಪ್ಪ ಲಮಾಣಿ,Rudappa Manappa Lamani
49,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಬೆಂಗಳೂರು ಮಹಾನಗರದಲ್ಲಿರುವ ಪಶುಚಿಕಿತ್ಸಾಲಯಗಳು,Veterinary Clinic in Bangalore Metropolitan,ಶಿವಾನಂದ ಎಸ್ ಪಾಟೀಲ,Shivanand S Patil
50,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯದ ಕಟ್ಟಡ ,Veterinary Clinic Building,ಬಣಕಾರ್ ಯು ಬಿ ,Banakar UB
51,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯಗಳಿಗೆ ಕಡಿಮೆ ಪ್ರಮಾಣದಲ್ಲಿ ಔಷಧಿಗಳ ಪೂರೈಕೆ ,Supply of low drugs for veterinary clinics,ಬಣಕಾರ್ ಯು ಬಿ ,Banakar UB
52,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಫಲಾನುಭವಿಗಳಿಗೆ ಹಸುಗಳನ್ನು ನೀಡುವ ಯೋಜನೆ ,Plan for giving cows to beneficiaries,ಬಣಕಾರ್ ಯು ಬಿ ,Banakar UB
53,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಡಿಪ್ಲೊಮೋ ವೆಟರ್ನರಿ ಸೈನ್ಸ್ ಕಾಲೇಜು ಕಟ್ಟಡದ ಕಾಮಗಾರಿಗೆ ಮಂಜೂರಾದ ಹಣ ,Sanctioned money for Diploma Veterinary Science College Building,ಬಸವರಾಜ ಎಸ್. ಬೊಮ್ಮಾಯಿ,Basavaraja S. Bommy
54,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಅಮೃತ ಯೋಜನೆಯಡಿ ಫಲಾನುಭವಿಗಳಿಗೆ ನೀಡಲಾಗಿರುವ ಸೌಲಭ್ಯಗಳು,Facilities provided to beneficiaries under Amrita scheme,ನಾರಾಯಣ ಗೌಡ,Narayana Gowda
55,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಕಾಯಲೆಗಳಿಂದ ಮೃತಪಟ್ಟಿರುವ ಜಾನುವಾರುಗಳು,Livestock dead by care,ನಾರಾಯಣಸ್ವಾಮಿ ಎಸ್ ಎನ್ ,Narayanaswamy SN
56,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶುವೈದ್ಯ ಆಸ್ವತ್ರೆಗಳು,Veterinarian festivals,ನಾರಾಯಣಸ್ವಾಮಿ ಎಸ್ ಎನ್ ,Narayanaswamy SN
57,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯಗಳ ಸ್ಥಾಪನೆ ,Establishment of Veterinary Clinic,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್ ಎನ್ ,Subburdy SN
58,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಮೇವಿನ ಸಂಗ್ರಹಣೆ ಮತ್ತು ಗೋಶಾಲೆಗಳ ಪ್ರಾರಂಭ ,Storage of fodder and the start of goshels,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್ ಎನ್ ,Subburdy SN
59,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶು ಆಸ್ಪತ್ರೆಗಳಿಗೆ ಸ್ವಂತ ಕಟ್ಟಡಗಳನ್ನು ನಿರ್ಮಿಸುವುದು ,Building own buildings for veterinary hospitals,ಬಾಲಕೃಷ್ಣ ಸಿ ಎನ್ ,Balakrishna CNN
60,03/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಪಶುಸಂಗೋಪನಾ ಆಸ್ಪತ್ರೆಗಳಲ್ಲಿ ಸಿಬಂದಿಗಳ ಕೊರತೆ,Lack of staff at animal husbandry hospitals,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
61,03/02/2015,ಮೀನುಗಾರಿಕೆ ,Fishing,ಜಾನುವಾರು ರಕ್ಷಣೆ,Livestock Protection,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ ,Ishwar Bhimanna Khandre
62,03/02/2015,ಮೀನುಗಾರಿಕೆ ,Fishing,ಪಶು ವೈದ್ಯಕೀಯ ಕಾಲೇಜು ಮಂಜೂರಾತಿ,Veterinary Medical College Allowance,ಅಂಗಾರ ಎಸ್,Angle S.
63,03/02/2015,ಮೀನುಗಾರಿಕೆ ,Fishing,ಪಶು ಆಸ್ಪತ್ರೆಗಳನ್ನು ಮೇಲ್ದರ್ಜೆಗೇರಿಸುವುದು ,Upgrading Veterinary Hospitals,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
64,03/02/2015,ಮೀನುಗಾರಿಕೆ ,Fishing,ಖಾಲಿಯಿರುವ ಪಶುವೈದ್ಯ ಹಾಗು ಇನ್ನಿತರೆ ಹುದ್ದೆಗಳನ್ನು ಭರ್ತಿ ಮಾಡುವುದು,Filling vacant veterinarian and other vacancies,ಮಧು ಬಂಗಾರಪ್ಪ ಎಸ್,Madhu Bangarappa S.
65,03/02/2015,ಮೀನುಗಾರಿಕೆ ,Fishing,ಇಲಾಖಾ ಪುನರಚನೆಯಿಂದಾಗಿರುವ ಗೊಂದಲ ,Confusion due to the reconstruction of the department,ಮಕಬುಲ್ ಎಸ್ ಬಾಗವಾನ್ ,Macabul S Bagan
66,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ರಾಜ್ಯ ಸರ್ಕಾರ ಉಪಯೋಗಿಸಿದ ವಿಶೇಷ ವಿಮಾನದ ವೆಚ್ಚ,Cost of special aircraft used by the state government,ಗೋಪಾಲಯ್ಯ. ಕೆ,Gopalaiah. K.
67,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,"ಖಾಲಿ ಇರುವ ಐಎಎಸ್, ಐಪಿಎಸ್ ಮತ್ತು ಐ ಎಫ್ ಎಸ್  ಹುದ್ದೆಗಳು  ","IAS, IPS and IFS posts are vacant",ಡಾ.ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಳ್ಳಿ,Dr. Gurupappa Nagamarapally
68,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಲೋಕಾಯುಕ್ತದಲ್ಲಿ ಖಾಲಿ ಹುದ್ದೆಗಳ ಭರ್ತಿ ,Vacancy filling in Lokayukta,ಡಾ.ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಳ್ಳಿ,Dr. Gurupappa Nagamarapally
69,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಸಚಿವಾಲಯದಲ್ಲಿರುವ ಉಪಾಹಾರ ಗೃಹಗಳ ನವೀಕರಣ ,Renovation of the restaurant in the Ministry,ರಫೀಕ್ ಅಹ್ಮದ್ ಎಸ್ ಡಾ,Rafeeq Ahmed S. Dr
70,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಅಧಿವೇಶನದ ಸಂದರ್ಭದಲ್ಲಿ ನೀಡಲಾಗಿರುವ ದಿನಭತ್ಯೆಗೆ ಅನುಸರಿಸಲಾಗುತ್ತಿರುವ ಮಾನದಂಡ ,The benchmark following the downturn given during the session,ಡಾ. ಶಿವರಾಜ್ ಪಾಟೀಲ್ ಎಸ್ ,Dr. Shivaraj Patil S.
71,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ದೂರ ಸಂಪರ್ಕ ಇಲಾಖೆ ಸ್ಥಾಪಿಸುವ ಉದ್ದೇಶಗಳು,Objectives to establish distance communications department,ಡಾ ಸುಧಾಕರ್ ಕೆ,Dr. Sudhakar K.
72,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಸರ್ಕಾರಿ ನೌಕರರಿಗೆ ಆರೋಗ್ಯ ಸಂಜೀವಿನಿ ಯೋಜನಾ ಸೌಲಭ್ಯ ,Health Sanjeevini Planning Facility for Government Employees,ಹ್ಯಾರಿಸ್ ಎನ್ ಎ ,Harris N. A.
73,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಸರ್ಕಾರಿ ರಜೆ ದಿನಗಳು ,Government Vacation Days,ರಾಜೀವ್ ಪಿ,Rajiv P.
74,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಬೆಳಗಾವಿಯ ಸುವರ್ಣ ವಿಧಾನಸೌಧದಲ್ಲಿ ನಡೆದಿರುವ ಸಚಿವ ಸಂಪುಟ ಸಭೆ ,Cabinet meeting in Belgaum's Golden Municipal Council,ಉಮೇಶ್ ವಿಶ್ವನಾಥ್ ಕತ್ತಿ,Umesh Vishwanath Sword
75,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಸಕರಿ ಅಧಿಕಾರಿಗಳ ವಿಧೇಶ ಪ್ರವಾಸ ,Departments of Sakari Officials,ರವಿ ಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ,Ravi Subramanya L.A.
76,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಇಲಾಖಾ ವಾರ್ಷಿಕ ವರದಿಗಳ ssoಜಿಣ ಛಿoಠಿಥಿ ಒಸಗಿಸುವುದು ,It is the responsibility of the Department of Annual Reports,ರವಿ ಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ,Ravi Subramanya L.A.
77,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಸಕಾಲ ಯೋಜನೆಯಡಿ ಬಂದಿರುವ ಅರ್ಜಿಗಳು ,Applications under the Sakala scheme,ರವಿ ಸಿ ಟಿ ,Ravi c
