Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
11,04/07/2016,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಅಡುಗೆ ಅನಿಲ ಸಂಪರ್ಕವಿಲ್ಲದ ಕುಟುಂಬಗಳ ಕುರಿತು,About families without cooking gas,ಪ್ರಾಣೇಶ್ .ಎಂ.ಕೆ,Pranesha M K
12,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,"ಮೊರಾರ್ಜಿ ದೇಸಾಯಿ, ಕಿತ್ತೂರು ರಾಣಿ ಚೆನ್ನಮ್ಮ ಮತ್ತು ಏಕಲವ್ಯ ವಸತಿ ಶಾಲೆಗಳ ಕುರಿತು","Morarji Desai, Kittur Rani Chennamma and Ekalavya Housing Schools",ಪ್ರಾಣೇಶ್ .ಎಂ.ಕೆ,Pranesha M K
13,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ರಾಜ್ಯದಲ್ಲಿ ನೂತನವಾಗಿ ಮಂಜೂರಾಗಿರುವ ಸರ್ಕಾರಿ ವಸತಿ ನಿಲಯಗಳ ಕುರಿತು,Newly sanctioned government housing in the state,ಪ್ರತಾಪಚಂದ್ರ ಶೆಟ್ಟಿ .ಕೆ,Pratapachandra Shetty K
14,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಮೊರಾರ್ಜಿ ದೇಸಾಯಿ ವಸತಿ ಶಾಲೆಗಳ ಕುರಿತು,About Morarji Desai Residential Schools,ಪ್ರತಾಪಚಂದ್ರ ಶೆಟ್ಟಿ .ಕೆ,Pratapachandra Shetty K
15,04/07/2016,ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಕಲ್ಯಾಣ,Welfare of Backward Classes,ಸಮಾಜ ಕಲ್ಯಾಣ ಇಲಾಖೆಯಲ್ಲಿ ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಯೋಜನೆಯ ಬಗ್ಗೆ,About Backward Classes Scheme in Social Welfare Department,ಪುಟ್ಟಸ್ವಾಮಿ .ಬಿ.ಜೆ,Puttaswamy B J
16,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಕಲ್ಯಾಣ ಇಲಾಖೆ ಸಮುದಾಯ ಭವನದ ಬಗ್ಗೆ,Backward Classes Welfare Department Community Hall,ಪುಟ್ಟಸ್ವಾಮಿ .ಬಿ.ಜೆ,Puttaswamy B J
17,04/07/2016,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭೀವೃದ್ಧಿ,Women and Child Development,ಭಾಗ್ಯಲಕ್ಷ್ಮಿ ಬಾಂಡ್ ವಿತರಣೆ ಬಗ್ಗೆ,About Bhagyalaxmi Bond Distribution,ಪುಟ್ಟಸ್ವಾಮಿ .ಬಿ.ಜೆ,Puttaswamy B J
18,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಹಿಂದುಳಿದ ವUಗಳ ಕಲ್ಯಾಣ ಇಲಾಖೆಗೆ ಹಣ ಮಂಜೂರು ಬಗ್ಗೆ,About granting money to the Welfare Department of Backward Classes,ಪುಟ್ಟಸ್ವಾಮಿ .ಬಿ.ಜೆ,Puttaswamy B J
19,04/07/2016,ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಕಲ್ಯಾಣ,Welfare of Backward Classes,ಆರ‍್ಯ ವೈಶ್ಯ ಸಮಾಜವನ್ನು ಹಿಂದುಳಿದ ವರ್ಗಕ್ಕೆ ಸೇರಿಸುವ ಬಗ್ಗೆ,Arya Vaishya society is about to add to the backward class,ಶರವಣ .ಟಿ.ಎ,Sharavana T A
20,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಮಾರಣಾಂತಿಕ ಖಾಯಿಲೆಯ ರೋಗಿಗಳಿಗೆ ಚಿಕಿತ್ಸೆಯಲ್ಲಿ ರಿಯಾಯಿತಿ ನೀಡುವ ಬಗ್ಗೆ,About treating patients with fatal illness,ಶರವಣ .ಟಿ.ಎ,Sharavana T A
21,04/07/2016,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಕನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆಯ ಯೋಜನೆಗಳ ಬಗ್ಗೆ,About the projects of the Kanada and Culture Department,ವಿಮಲಾಗೌಡ,Vimalaa Gowda
22,04/07/2016,ವೈದ್ಯಕಿಯ,The doctor,ವೈದಕೀಯ ಶಿಕ್ಷಣ ಇಲಾಖೆಯಲ್ಲಿ ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳ ಬಗ್ಗೆ,Regarding vacancies in the Department of Youth Education,ವಿಮಲಾಗೌಡ,Vimalaa Gowda
23,04/07/2016,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಕಲ್ಯಾಣ ಕಾರ್ಯಕ್ರಮಗಳ ಬಗ್ಗೆ,About Women and Child Welfare Programs,ವಿಮಲಾಗೌಡ,Vimalaa Gowda
24,04/07/2016,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಬಿ.ಪಿ.ಎಲ್. ಕಾರ್ಡ ವಿತರಣೆ ಬಗ್ಗೆ,BPL About card distribution,ವಿಮಲಾಗೌಡ,Vimalaa Gowda
25,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಬೀದರ್ ಜಿಲ್ಲೆಯ ವಿದ್ಯಾರ್ಥಿನಿಲಂiiಗಳ ಬಗೆ,Type of Student II in Bidar district,ವಿಜಯ್ ಸಿಂಗ್,Vijay Singh
26,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಬಿದರ್ ಜಿಲ್ಲೆಯ ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದ್ರದಲ್ಲಿ ವೈದ್ಯರು ಮತ್ತು ಸಿಬ್ಬಂದಿ ಕೊರತೆ ಬಗ್ಗೆ,About the lack of doctors and staff at the Primary Health Center in Bidar district,ವಿಜಯ್ ಸಿಂಗ್,Vijay Singh
27,04/07/2016,ಯೋಜನೆ ಮತ ಸಾಂಖ್ಯಿಕ,The project vote is numerical,ಹೈದರಾಬಾದ್-ಕರ್ನಾಟಕ ಪ್ರದೇಶಾಭಿವೃದ್ಧಿ ಯೋಜನೆಯ ಅನುದಾನದ ಬಗ್ಗೆ,About the Hyderabad-Karnataka Area Development Plan,ವಿಜಯ್ ಸಿಂಗ್,Vijay Singh
28,04/07/2016,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಬೀದರೆ ಜಿಲ್ಲೆ ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳ ಬಗ್ಗೆ,About District Anganwadi Centers,ವಿಜಯ್ ಸಿಂಗ್,Vijay Singh
29,04/07/2016,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಭಾಗ್ಯಲಕ್ಷ್ಮಿ ಯೋಜನೆಯ ಬಗ್ಗೆ,About Bhagyalaxmi Project,ಬಸನಗೌಡ ಆರ್ ಪಾಟೀಲ್,Basanagowda R Patil
30,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಜನರಿಕ್ ಜೌಷಧಿ ಮಳಿಗೆಗಳನ್ನು ಪ್ರಾರಂಭಿಸುವ ಬಗ್ಗೆ,About launching generic drug stores,ಬಸನಗೌಡ ಆರ್ ಪಾಟೀಲ್,Basanagowda R Patil
31,04/07/2016,ಯೋಜನೆ ಮತ್ತು ಸಾಂಖ್ಯಿಕ,Plan and Numerical,ಅನುದಾನ ಬಿಡುಗಡೆ ಕುರಿತು,About grant release,ಬಸನಗೌಡ ಆರ್ ಪಾಟೀಲ್,Basanagowda R Patil
32,04/07/2016,ಯೋಜನೆ ಮತ್ತು ಸಾಂಖ್ಯಿಕ,Plan and Numerical,ಬಯಲು ಸೀಮೆ ಅಭಿವೃದ್ಧಿ ಮಂಡಳಿಯ ಬಗ್ಗೆ,About the Plain Limit Development Board,ಬಸನಗೌಡ ಆರ್ ಪಾಟೀಲ್,Basanagowda R Patil
33,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಸಮಾಜ ಕಲ್ಯಾಣ ಇಲಾಖೆಗೆ ಬಿಡುಗಡೆಯಾದ ಹಣ,Money released to the Social Welfare Department,ಬಸನಗೌಡ ಆರ್ ಪಾಟೀಲ್,Basanagowda R Patil
34,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ತುರುವೇಕೆರೆ ತಾಲ್ಲೂಕು ಆರೋಗ್ಯ ಕೇಂದ್ರಗಳ ಬಗ್ಗೆ,About Health Centers in Tuvaerekere taluk,ಲಕ್ಷ್ಮೀನಾರಾಯಣ .ಎಂ.ಡಿ,Lakshmi Narayana MD
35,04/07/2016,ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನ,Information technology,ಸಾರ್ವಜನಿಕರಿಗೆ ಉಚಿತ ವೈ ಫೈ ಯೋಜನೆ ನೀಡುವ ಕುರಿತು,About Free Wii Fi Plans for the Public,ಲಕ್ಷ್ಮೀನಾರಾಯಣ .ಎಂ.ಡಿ,Lakshmi Narayana MD
36,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ತುರುವೇಕೆರೆ ತಾಲ್ಲೂಕಿನ ಆಶ್ರಮ ಶಾಲೆಗಳ ಬಗ್ಗೆ,About Ashram Schools in Trivikere Taluk,ಲಕ್ಷ್ಮೀನಾರಾಯಣ .ಎಂ.ಡಿ,Lakshmi Narayana MD
37,04/07/2016,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭೀವೃದ್ಧಿ,Women and Child Development,ದೇವರ ದಾಸಿಮಯ್ಯನವರ ಜಯಂತಿ ಆಚರಣೆ ಬಗ್ಗೆ,About the celebration of the victory of God Dasiamayya,ಲಕ್ಷ್ಮೀನಾರಾಯಣ .ಎಂ.ಡಿ,Lakshmi Narayana MD
38,04/07/2016,ವೈದ್ಯಕೀಯ ಶಿಕ್ಷಣ,Medical education,ಕಿದ್ವಾಯಿ ಸಂಸ್ಥೆಯ ನೌಕರರ ಬಗ್ಗೆ,About Kidwai's employees,ವಟಮ್ಮ,Motamma
39,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಸಮಾಜ ಕಲ್ಯಾಣ ಇಲಾಕೆಯಿಂದ ಹಮ್ಮಿಕೊಳ್ಳಲಾದ ಕಾರ್ಯಕ್ರಮಗಳು,Programs conducted by the Social Welfare Department,ಮೋಟಮ್ಮ,Motamma
40,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಜೌಷದಿಗಳ ದರ ಇಳಿಕೆ ಬಗ್ಗೆ,About the decline in the rate of herbivores,ಅಪ್ಪಾಜಿಗೌಡ .ಎನ್,Appajigowda N
41,04/07/2016,ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನ,Information technology,ಮಾಹಿತಿ ತಂತ್ತಜ್ಞಾನ ಕಂಪನಿಗಳ ಬಗ್ಗೆ,About Information Technologies Companies,ಅಪ್ಪಾಜಿಗೌಡ .ಎನ್,Appajigowda N
42,04/07/2016,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,"ಮಂಡ ಜಿಲ್ಲೆಯಲ್ಲಿನ ಎ.ಪಿ.ಎಲ್, ಬಿ.ಪಿ.ಎಲ್ ಮತ್ತು ಅಂತ್ಯೋದಯ ಕಾರ್ಡ್‌ಗಳು","APL, BPL and Anthodyday Cards in Mandu District",ಅಪ್ಪಾಜಿಗೌಡ .ಎನ್,Appajigowda N
43,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಮಂಡ್ಯ ಜಿಲ್ಲೆಯಲ್ಲಿನ ಹೆಚ್.ಐ.ವಿ (ಏಡ್ಸ್) ಪ್ರಕರಣಗಳ ಬಗ್ಗೆ,About HIV (AIDS) cases in Mandya district,ಅಪ್ಪಾಜಿಗೌಡ .ಎನ್,Appajigowda N
44,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಯೋಜನೆಗಳ ಅನುಷ್ಠಾನದ ಬಗ್ಗೆ,About the implementation of projects,ಅಪ್ಪಾಜಿಗೌಡ .ಎನ್,Appajigowda N
45,04/07/2016,ವದ್ಯಕಿಯ ಶಿಕ್ಷಣ,Academic Education,ಬಳ್ಳಾರಿಯ ವಿಜಯನಗರ ವೈದ್ಯಕಿಯ ವಿಜ್ಞಾನ ಸಂಸ್ಥೆಯಲ್ಲಿನ ಹಗರಣಗಳ ಬಗ್ಗೆ,The scandals in the science firms of Bellary's Vijayanagar doctor,ಅಮರನಾಥ ಪಾಟೀಲ್,Amaranatha Patil
46,04/07/2016,ಯೋಜನೆ ಮತ್ತು ಸಾಂಖ್ಯಿಕ,Plan and Numerical,ಹೈದ್ರಾಬಾದ್-ಕರ್ನಾಟಕ ಭಾಗದಲ್ಲಿರುವ ವಿಜ್ಞಾನ ಕೇಂದ್ರಗಳು ಹಾಗೂ ಕಟ್ಟಡಗಳು ಮತ್ತು ಅನುದಾನದ ಬಗ್ಗೆ.,About Science Centers and Buildings and Grants in Hyderabad-Karnataka.,ಅಮರನಾಥ ಪಾಟೀಲ್,Amaranatha Patil
47,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಸ್ವಯಂ ಉದ್ಯೋಗ ಯೋಜನೆಯ ಬಗ್ಗೆ,About self employment plan,ಅಮರನಾಥ ಪಾಟೀಲ್,Amaranatha Patil
48,04/07/2016,ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನ,Information technology,ರಾಜ್ಯಕ್ಕೆ ಹಾಗೂ ಹೈದ್ರಾಬಾದ್-ಕರ್ನಾಟಕ ಭಾಗಕ್ಕೆ ಬಿಡುಗಡೆಯಾಗಿರುವ ಅನುದಾನ ಹಾಗೂ ಯೋಜನೆಗಳ ಬಗ್ಗೆ,About the grant and plans released to the state and the Hyderabad-Karnataka region,ಅಮರನಾಥ ಪಾಟೀಲ್,Amaranatha Patil
49,04/07/2016,ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ,Kannada and culture,ಹೈದ್ರಾಬಾದ್- ಕರ್ನಾಟಕ ಭಾಗದ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಕಲಾವಿದರಿಗೆ ಮಾಶಾಸನ ನೀಡುವ ಬಗ್ಗೆ,About giving masseason to artists in Hyderabad-Karnataka districts,ಅಮರನಾಥ ಪಾಟೀಲ್,Amaranatha Patil
50,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಮೊರಾರ್ಜಿ ಹಾಗೂ ಕಿತ್ತೂರು ರಾಣಿ ಚೆನ್ನಮ್ಮ ಶಲೆಗಳ ಮೂಲಭೂತ ಸೌಕರ್ಯಗಳ ಕುರಿತು,About the infrastructure of Morarji and Rani Chennamma mansions in Kittur,ಅರುಣ ಶಹಾಪುರ,Aruna Shahaapura
51,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಚಿತ್ರಕಲಾ ಶಿಕ್ಷಕರ ನೇಮಕಾತಿ ಕುರಿತು,About Painting Appointment Teachers,ಅರುಣ ಶಹಾಪುರ,Aruna Shahaapura
52,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಕ್ರೈಸ್ ಅನ್ನು ಪ್ರತ್ಯೇಕ ನಿರ್ದೇಶನಾಲಯ ಮಾಡುವ ಕುರಿತು,Creating a separate Directorate of Crisis,ಅರುಣ ಶಹಾಪುರ,Aruna Shahaapura
53,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಮೊರಾರ್ಜಿ ಹಾಗೂ ಕಿತ್ತೂರು ರಾಣಿ ಚೆನ್ನಮ್ಮ ಶಲೆಗಳಲ್ಲಿನ ಸಿಬ್ಬಂದಿಗಳ ಕುರಿತು,About staff in Morarji and Rani Chennamma Shale in Kittur,ಅರುಣ ಶಹಾಪುರ,Aruna Shahaapura
54,04/07/2016,ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಕಲ್ಯಾಣ,Welfare of Backward Classes,ಅಲೆಮಾರಿ /ಅರೆ ಅಲೆಮಾರಿ ಜನಾಂಗದ ಅಭೀವೃದ್ಧಿಗೆ ನಿUಮ ಸ್ಥಾಪಿಸುವ ಕುರಿತು,About establishing NUU for the development of nomadic / semi-nomadic people,ಜಯಮ್ಮ,Jayamma
55,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಮಹಿಳೆಯರ ಗರ್ಭಾಶಯ ದಂಧೆ,Women's Matrix Stomach,ಜಯಮಾಲಾ ರಾಮಚಂದ್ರ,Jayamala Ramachandra
56,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಶುಚಿತ್ವ ಅಭಾವ,Clean hospitality in government hospital,ಜಯಮಾಲಾ ರಾಮಚಂದ್ರ,Jayamala Ramachandra
57,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಕೆ.ಎಸ್.ಎ.ಪಿ.ಎಸ್ ಸಂಸ್ಥೆಯ ಏಡ್ಸ ನಿಯಂತ್ರಣ ಕಾರ್ಯಕ್ರಮಗಳು,KSAPPS AIDS Control Programs,ಜಯಮಾಲಾ ರಾಮಚಂದ್ರ,Jayamala Ramachandra
58,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಏಡ್ಸ್ ಪೀಡಿತರು,AIDS suffers,ಜಯಮಾಲಾ ರಾಮಚಂದ್ರ,Jayamala Ramachandra
59,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ನಕಲಿ ವೈದ್ಯರ ಹಾವಳಿ,Fake doctor,ಜಯಮಾಲಾ ರಾಮಚಂದ್ರ,Jayamala Ramachandra
60,04/07/2016,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭೀವೃದ್ಧಿ,Women and Child Development,ಪಚ್ಯವಸ್ತ ಇಲಾಖೆಗೆ ಬಿಡುಗಡೆಯಾದ ಹಣದ ಬಗ್ಗೆ,About the money released to the Ministry of Health,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
61,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಆಯೋಗದ ಕುರಿತು,About Backward Classes Commission,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
62,04/07/2016,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಪಡಿತರ ಚೀಟಿಗಾಗಿ ಬಂದಿರುವ ಅರ್ಜಿಗಳ ಬಗ್ಗೆ,Regarding applications for ration cards,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
63,04/07/2016,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಪಡಿತರ ದಾಸ್ತಾನು ಮಾಡಲು ಇರುವ ಗೋದಾಮುಗಳ ಬಗ್ಗೆ,About warehouses for rationing,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
64,04/07/2016,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಕನಿಷ್ಠ ಬೆಲೆ ಯೋಜನೆಯಡಿ ಪಡಿತರಗಳ ಖರೀದಿ,Buying Rationes under the Minimum Price Plan,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
65,04/07/2016,ವೈದ್ಯಕಿಯ,The doctor,ರಾಜ್ಯದಲ್ಲಿ ಗ್ರಾಮೀಣ ಕಡ್ಡಾಯ ವೈದ್ಯಕೀಯ ಸೇವಾ ತರಬೇತಿ ಕಾಯ್ದೆ ಅಸ್ತಿತ್ವದ ಬಗ್ಗೆ,About the existence of the Rural Compulsory Medical Service Training Act in the State,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
66,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ರಾಜ್ಯದಲ್ಲಿ ಕೋಳಿ ಜ್ವರ ತಡೆಗಟ್ಟಲು ಮುಂಜಾಗ್ರತಾ ಕ್ರiಗಳು,Precautionary measures to prevent chicken fever in the state,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
67,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ವಿಶೇಷ ಘಟಕ ಮತ್ತು ಗಿರಿಜನ ಯೋಜನೆ,Special Unit and Gear Plan,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
68,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ತಂಬಾಕು ಉತ್ಪನ್ನಗಳ ನಿಷೇಧ ಮಾಡುವ ಬಗ್ಗೆ,About ban on tobacco products,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
69,04/07/2016,ಮೀನುಗಾರಿಕೆ,Fishing,ಮೀನುಗಾರಿಕೆಗೆ ಡೀಸೆಲ್ ಮತ್ತು ಸೀಮೆಎಣೆ ಸಬ್ಸಿಡಿಗಾಗಿ ಸರ್ಕಾರ ನೀಡುವ ಸಹಾಯಧನದ ಬಗ್ಗೆ,About government subsidy for diesel and kerosene subsidy for fishing,ಐವಾನ್ ಡಿ ಸೋಜಾ,Ivan Disoza
