Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
33,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ಬೀದರ್ ಜಿಲ್ಲೆಗೆ ಅನುದಾನ ಬಿಡುಗಡೆ,Release of funds to Bidar district,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
34,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಹೊಸದುರ್ಗ ನಗರದಲ್ಲಿ ಸರ್ಕಾರದವರಿಂದ ಡಿಪ್ಲೊಮಾ ಕಾಲೇಜಿನ ಮಂಜೂರಾತಿ,Approved by the Government of Hosdurg City Diploma College,ಗೂಳಿಹಟ್ಟಿ .ಡಿ ಶೇಖರ,Gulluti D Shekhar
35,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಸರ್ವ ಶಿಕ್ಷಣ ಅಭಿಯಾನದ ಅನುದಾನ,Grant of Sarva Shiksha Abhiyan,ಗೋಪಲ ಭಂಡಾರಿ.ಹೆಚ್,Gopal Bhandari
36,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಸಾಗರ ತಾಲ್ಲೂಕಿನಲ್ಲಿ ಬಾಲಕರ ಸರ್ಕಾರಿ ಪದವಿ ಕಾಲೇಜು ಪ್ರಾರಂಬಿಸುವುದು,Boys' Government Degree College in Sagar Taluk,ಗೋಪಾಲಕೃಷ್ಣ ಬೇಳೂರು,Gopalakrishna Belur
37,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಸಾಗರ ತಾಲ್ಲೂಕಿನ ಕ್ಷೇತ್ರ ಶಿಕ್ಷಣಾಧಿಕಾರಿಗಳ ಕಛೇರಿಯ ಹೊಸ ಕಟ್ಟಡ ನಿರ್ಮಾಣ,Construction of a new building of the office of field education officers in the Sagar taluk,ಗೋಪಾಲಕೃಷ್ಣ ಬೇಳೂರು,Gopalakrishna Belur
38,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಉಚಿತ ಹಾಗೂ ಕಡ್ಡಾಯ ಶಿಕ್ಷಣ ಹಕ್ಕು ಕಾಯ್ದೆ,Free and Compulsory Education Rights Act,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
39,13/02/2013,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಬೆಂಗಳೂರು ಅನಾಥ ಪ್ರಾಣಿಗಳ ಆಶ್ರಮ ಕೇಂದ್ರ ಕ್ಯೂಪಾ ಸಂಸ್ಥೆ ಕುರಿತು,About Bangalore Orphanage Monastery Center CUPA,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
40,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ರಾಜ್ಯದಲ್ಲಿರುವ ಕನ್ನಡ ಮತ್ತು ಅಂಗ್ಲ ಮಾಧ್ಯಮ ವಸತಿ ಕಾಲೇಜು,Kannada and Angla Media housing college in the state,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
41,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಶಾಲಾ ಮಕ್ಕಳಿಗೆ ಬಿಸಿಯೂಟ ಯೋಜನೆಯ ಸುವ್ಯವಸ್ಥೆ,The order of the scheme is to provide the food for the school children,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
42,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,CBSE ಗೆ ಪರಿವರ್ತನೆ ಕೋರಿರುವ ಅರ್ಜಿಗಳು,Applications seeking conversion to CBSE,ಖಾದರ್ ಯು.ಟಿ,Khader UT
43,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಪ್ರಥಮ ದರ್ಜೆ ಕಾಲೇಜುಗಳ ಮಂಜೂರಾತಿ,Approval of First Class Colleges,ಖಾದರ್ ಯು.ಟಿ,Khader UT
44,13/02/2013,ಪಶುಸಂಗೋಪನಾ,Animal husbandry,ಪಶುಸಂಗೋಪನಾ ಇಲಾಖೆ ಕಾರ್ಯ ವ್ಯಾಪ್ತಿ,Department of Animal Husbandry,ಖಾದರ್ ಯು.ಟಿ,Khader UT
45,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳಿಗೆ ಸ್ವಂತ ಕಟ್ಟಡ ನಿರ್ಮಾಣ,Building Anganwadi Centers Own Building,ಖಾದರ್ ಯು.ಟಿ,Khader UT
46,13/02/2013,ಒಳನಾಡು ಜಲಸಾರಿಗೆ,Inland water supply,ಮಂಗಳೂರು ವಿಧಾನಸಭಾ ವ್ಯಾಪ್ತಿಗೆ ಒಳಪಡುವ ಒಳನಾಡು ಸಾರಿಗೆ ಬಗ್ಗೆ,About the inland transport under Mangalore assembly constituency,ಖಾದರ್ ಯು.ಟಿ,Khader UT
47,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ತೀರ್ಥಹಳ್ಳಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿನ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ ಶಾಲೆಗಳು,Primary and Secondary Education Schools in the Thirthahalli Assembly constituency,ಕಿಮ್ಮನೆ ರತ್ನಾಕರ್,Kimne Ratnakar
48,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ಧಾರ್ಮಿಕ ದತ್ತಿ ಇನಾಂ ರದ್ದತಿ ಕಾಯ್ದೆ ಬಗ್ಗೆ,Religious Endowment In Income Abolition Act,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
49,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರಾಥಮಿಕ ಶಾಲೆಗಳಲ್ಲಿ ಶೌಚಾಲಯಗಳು,Toilets in Primary Schools,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
50,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಸ್ನಾತಕೋತ್ತರ ಹಾಗೂ ವೃತ್ತಿಪರ ಶಿಕ್ಷಣ,Postgraduate and Professional Education,ಲಾಲಾಜಿ ಆರ್ .ಮೆಂಡನ್,Lalaji R   Mendon
51,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದ್ರಕ್ಕೆ ಸಿಬ್ಬಂದಿ ಹಾಗೂ ಮೂಲಭೂತ ಸೌಕರ್ಯ,Personnel and infrastructure for the Primary Health Center,ಲಾಲಾಜಿ ಆರ್ .ಮೆಂಡನ್,Lalaji R   Mendon
52,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ಆಯವ್ಯಯದಲ್ಲಿ ಘೋಷಿಸಿರುವ ಯೋಜನೆಗಳು,Plans announced in the budget,ಮಂಜು ಎ,Man̄ju A
53,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ರಾಯಚೂರು ಜಿಲ್ಲೆಗೆ ಬಿಡುಗಡೆಯಾಗಿರುವ ಅನುದಾನ,Grants released to Raichur district,ನಾಡಗೌಡ ವೆಂಕಟರಾವ್,Nadgowda Venkatrao
54,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರಥಮ ದರ್ಜೆ ಮತ್ತು ದ್ವತೀಯ ದರ್ಜೆ ಸಹಾಯಕರ ಹುದ್ದೆಗಳು,First Class and 2nd Grade Assistant posts,ನಾಗರಾಜು ಎಂ.ವಿ,Nagaraju MV
55,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಮಹಲಕ್ಷ್ಮಿ ಬಡಾವಣೆಯಲ್ಲಿ ಆಸ್ಪತ್ರೆಯ ನಿರ್ಮಾಣ,Hospital building at Mahalakshmi Layout,ನರೇಂದ್ರ ಬಾಬು ನೆ.ಲ,Narendra Babu N L 
56,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಭಾಗ್ಯಲಕ್ಷ್ಮಿ ಬಾಂಡ್ ವಿತರಣೆ,Bhagyalaxmi Bond Distribution,ನರೇಂದ್ರ ಬಾಬು ನೆ.ಲ,Narendra Babu N L 
57,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ಪ್ರಸನ್ನ ಆಂಜನೇಯ ದೇವಸ್ಥಾನ,Prasanna Anjaneya Temple,ನರೇಂದ್ರ ಬಾಬು ನೆ.ಲ,Narendra Babu N L 
58,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಪ್ರಥಮ ದರ್ಜೆ ಕಾಲೇಜಿನ ನಿರ್ಮಾಣ,Construction of first-class college,ನರೇಂದ್ರ ಬಾಬು ನೆ.ಲ,Narendra Babu N L 
59,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಕನ್ನಡ ಶಾಲೆಗಳನ್ನು ತೆರೆಯುವಂತೆ ರಾಜ್ಯಕ್ಕೆ ಸೂಚನೆ,State to open Kannada schools,ನರೇಂದ್ರ ಬಾಬು ನೆ.ಲ,Narendra Babu N L 
60,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ವಿವಿಧ ಸಂಘ ಹಾಗೂ ಯೋಜನೆಗೆ ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Grants released to various organizations and projects,ರಹೀಂಖಾನ್,Rahin Khan
61,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Release grant,ರಹೀಂಖಾನ್,Rahin Khan
62,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಶ್ರೀರಂಗಪಟ್ಟಣದಲ್ಲಿ ಟಿಪ್ಪು ಸುಲ್ತಾನ್ ಹೆಸರಿನಲ್ಲಿ ವಿಶ್ವವಿದ್ಯಾಲಯ ಸ್ಥಾಪನೆ,Establishment of university in the name of Tipu Sultan in Srirangapatna,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
63,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಸಿ.ಇ.ಟಿ ಘಟಕದಿಂದ ಬಂದ ಆದಾಯ,Revenue from the CET unit,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
64,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರಿಗೆ ಕನಿಷ್ಠ ವೇತನ,Minimum wage for anganwadi workers,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
65,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ರಾಜ್ಯದಲ್ಲಿನ ಮುಜರಾಯಿ ದೇವಸ್ಥಾನಗಳ ಧರ್ಮದರ್ಶಿ ಸಮಿತಿಗಳ ಪುನರ್ ರಚನೆ,Rebuilding of the Dharmarashtra Samajas of Muzirai Temples in the State,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
66,13/02/2013,ಸಾರ್ವಜನಿಕ ಗ್ರಂಥಾಲಯ,Public Library,Education Cess ಬಳಕೆ,Use of Education Cess,ರವಿಸುಬ್ರಮಣ್ಯ ಎಲ್.ಎ,Ravi Brammanya L A 
67,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಸರ್ಕಾರಿ ಪಾಲಿಟೆಕ್ನಿಕ್ ಕಾರಟಗಿ ಇದರ ಶುಲ್ಕ ಪಾವತಿ,Payment of fees for Government Polytechnic Corps,ಶಿವರಾಜ್ ಸಂಗಪ್ಪ ತಂಗಡಗಿ,Śivarāj saṅgappa taṅgaḍagi
68,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರಾಥಮಿಕ ಶಾಲಾ ಶಿಕ್ಷಕರ ಕೊರತೆ,Lack of elementary school teachers,ಸುಭಾಷ ಆರ್.ಗುತ್ತೇದಾರ್,Subhash R Gauthdar
69,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಭಾಗ್ಯಲಕ್ಷ್ಮಿ ಬಾಂಡ್ ಗಳು,Bhagyalaxmi Bonds,ಸುಭಾಷ ಆರ್.ಗುತ್ತೇದಾರ್,Subhash R Gauthdar
70,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ಮುಜರಾಯಿ ದೇವಸ್ಥಾನಗಳ ಅಭಿವೃದ್ಧಿ,The development of the Muzrai temples,ಸುಭಾಷ ಆರ್.ಗುತ್ತೇದಾರ್,Subhash R Gauthdar
71,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲಾಖೆಯ ಕಟ್ಟಡಗಳು,Health and Family Welfare Department Buildings,ಸುಭಾಷ ಆರ್.ಗುತ್ತೇದಾರ್,Subhash R Gauthdar
72,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ದೇವಸ್ಥಾನಗಳಿಗೆ ಒದಗಿಸಿರುವ ಅನುದಾನ,Grants to the temples,ಸುನೀಲ್ ವಿ.ಹೆಗಡೆ,Sunil V  Hegade
